year,alRatio
2010,19.914118794276387
2011,20.48654365213018
2012,22.54302747977757
2013,21.679283204479756
2014,21.178668981805153
2015,22.012655583980496
2016,22.552711332505364
2017,21.641815928785636
2018,20.25466391176572
2019,21.784614489299695
