datetime,HPI_inf,Fips,HPI_pre
2005-04-01,352.8628888888889,1,419.7449560012441
2005-04-01,333.23400000000004,2,401.0972659944895
2005-04-01,459.7327777777778,4,519.7307020201278
2005-04-01,312.65055555555557,5,331.62956441143433
2005-04-01,767.1803333333334,6,753.3682309254672
2005-04-01,460.08233333333334,8,534.4314281523172
2005-04-01,586.150888888889,9,558.0945776299158
2005-04-01,585.7072222222222,10,605.049614758179
2005-04-01,712.3807777777778,11,838.2697928258876
2005-04-01,532.1983333333334,12,622.9781773681634
2005-04-01,403.72322222222226,13,450.3649201336568
2005-04-01,603.0908888888889,15,635.143963805341
2005-04-01,365.7292222222222,16,440.87996269497717
2005-04-01,461.13100000000003,17,467.12541319504396
2005-04-01,330.572,18,347.5269248069327
2005-04-01,313.874,19,316.2277938798666
2005-04-01,302.1101111111111,20,325.32952856210477
2005-04-01,366.4417777777778,21,390.1437636091429
2005-04-01,278.79744444444447,22,341.1022579432034
2005-04-01,631.2973333333333,23,593.0500217021458
2005-04-01,607.3931111111111,24,610.5434977428938
2005-04-01,951.8263333333334,25,861.4686592939761
2005-04-01,426.2561111111111,26,405.4409791535176
2005-04-01,477.345,27,456.1497269506258
2005-04-01,299.05822222222224,28,341.68675136959473
2005-04-01,374.7101111111111,29,407.3999025529773
2005-04-01,415.9307777777778,30,508.3593173356051
2005-04-01,328.23266666666666,31,341.631753747778
2005-04-01,506.69422222222227,32,519.6572249752676
2005-04-01,598.9634444444445,33,531.9440080737961
2005-04-01,695.6424444444444,34,676.0461383226461
2005-04-01,361.17155555555553,35,398.11550835917274
2005-04-01,788.4091111111111,36,777.0932776031134
2005-04-01,390.09055555555557,37,463.03292398210374
2005-04-01,287.3615555555556,38,351.3556753499846
2005-04-01,355.7534444444445,39,360.80507255566
2005-04-01,243.66711111111113,40,297.34492752308927
2005-04-01,484.1344444444445,41,569.1808683325426
2005-04-01,474.36033333333336,42,511.80017439216397
2005-04-01,774.3058888888888,44,669.7019673904114
2005-04-01,400.98055555555555,45,448.3500540431907
2005-04-01,349.7572222222222,46,380.29428505102857
2005-04-01,358.03900000000004,47,411.74024754585247
2005-04-01,264.8958888888889,48,335.6009580516424
2005-04-01,382.11800000000005,49,471.6166451857007
2005-04-01,547.8342222222223,50,547.1920145201332
2005-04-01,547.2157777777778,51,582.1385345180589
2005-04-01,531.069,53,595.4310371652325
2005-04-01,262.36833333333334,54,271.11339752828377
2005-04-01,416.22655555555554,55,400.87389571698236
2005-04-01,293.64011111111114,56,329.70889111242656
2005-07-01,356.21267548321464,1,404.8563304357154
2005-07-01,341.27022177009155,2,399.184903394573
2005-07-01,493.2339125127162,4,522.7899569055212
2005-07-01,315.97174364191255,5,345.15271714800576
2005-07-01,796.3902421159714,6,743.2847342875942
2005-07-01,462.00631129196336,8,512.2452448562068
2005-07-01,595.5312268565616,9,545.2455845126782
2005-07-01,604.9699654120041,10,595.8282563333016
2005-07-01,746.0857538148525,11,791.9984434462735
2005-07-01,562.761521871821,12,618.5600650630349
2005-07-01,405.8657578840285,13,450.5552307862391
2005-07-01,633.7514710071212,15,666.8959221684179
2005-07-01,383.14631536113933,16,430.48991191371385
2005-07-01,465.5292207527976,17,465.97645856764825
2005-07-01,331.7384252288912,18,348.07864334866906
2005-07-01,315.33363173957275,19,323.55310089295745
2005-07-01,302.2922197355035,20,309.886634450494
2005-07-01,368.2969196337742,21,381.39266033396615
2005-07-01,280.9686469989827,22,324.8504743015953
2005-07-01,640.3585879959309,23,597.9252290526523
2005-07-01,631.7440773143438,24,605.0089692559559
2005-07-01,956.0644516785351,25,846.4912081519856
2005-07-01,424.9426449643947,26,390.8795109538104
2005-07-01,480.61790844354016,27,459.996747554446
2005-07-01,301.81363580874876,28,317.4907181082811
2005-07-01,377.09754628687693,29,385.52638722786907
2005-07-01,423.2144252288912,30,449.4471818612788
2005-07-01,329.2524476093591,31,338.1092011128247
2005-07-01,518.7583886063072,32,497.9255307994993
2005-07-01,606.4721871820956,33,541.7766362709247
2005-07-01,714.1402767039675,34,659.4675231650833
2005-07-01,370.80948524923707,35,400.0183210170332
2005-07-01,805.0845167853511,36,765.8325086592467
2005-07-01,394.4860956256358,37,459.9291442399835
2005-07-01,290.65997151576806,38,361.3880800539201
2005-07-01,355.13586164801626,39,369.4253770999568
2005-07-01,245.48696642929806,40,287.17716462176725
2005-07-01,505.3447446592065,41,576.7766096177771
2005-07-01,484.4465798575789,42,515.7639918065929
2005-07-01,782.6974242115972,44,673.8333857945845
2005-07-01,406.5171637843337,45,434.53812505397497
2005-07-01,351.10778026449645,46,372.1958839093943
2005-07-01,361.15804272634796,47,427.6689635558766
2005-07-01,266.15913326551373,48,323.59600888010465
2005-07-01,391.8272960325534,49,456.9394574757317
2005-07-01,561.0465961342828,50,577.6884858577644
2005-07-01,567.0687772126145,51,562.4230344422099
2005-07-01,548.4438860630722,53,594.9051076699193
2005-07-01,268.3393489318413,54,266.6959050078183
2005-07-01,419.5585757884029,55,423.21359121110373
2005-07-01,301.241993896236,56,352.14193174074495
2005-10-01,360.19992338709676,1,407.3345558022147
2005-10-01,348.3833951612903,2,368.983551323243
2005-10-01,522.72,4,509.9279175468774
2005-10-01,317.3205483870968,5,333.73520950409056
2005-10-01,824.3642177419355,6,750.1341112266034
2005-10-01,462.2409798387097,8,508.0104861105165
2005-10-01,602.0896572580646,9,553.6881045908134
2005-10-01,612.2068185483871,10,555.3979264625905
2005-10-01,776.5184758064516,11,820.3338576480173
2005-10-01,587.1115161290322,12,635.6913667033181
2005-10-01,407.46603629032256,13,442.1606434595935
2005-10-01,662.8980120967742,15,631.8469117916629
2005-10-01,396.9009798387097,16,469.3278069242914
2005-10-01,469.6575967741935,17,463.74004780458694
2005-10-01,329.44006451612904,18,346.8130494647627
2005-10-01,314.83077822580645,19,322.4318873886375
2005-10-01,301.0645887096774,20,305.0287919253043
2005-10-01,366.8261370967742,21,385.1733211572045
2005-10-01,287.77264112903225,22,292.565664087583
2005-10-01,644.705564516129,23,612.3864587113702
2005-10-01,651.2263911290323,24,584.1513506690197
2005-10-01,954.0298669354839,25,843.339290969556
2005-10-01,420.0729677419355,26,397.4919733798101
2005-10-01,481.5926854838709,27,448.96866353086995
2005-10-01,305.754314516129,28,309.88046065019046
2005-10-01,377.89178225806455,29,380.52024579635537
2005-10-01,433.22000806451615,30,476.1540068749344
2005-10-01,325.25092741935487,31,336.2820284878273
2005-10-01,533.1269758064516,32,492.878469052597
2005-10-01,607.951814516129,33,511.8414945010118
2005-10-01,729.1996693548386,34,651.7465524101564
2005-10-01,378.3265040322581,35,392.42821234121215
2005-10-01,815.7751693548387,36,768.5910136363411
2005-10-01,399.219495967742,37,438.66801547700726
2005-10-01,291.76417741935484,38,367.5923454961334
2005-10-01,352.3485846774194,39,361.5919902795466
2005-10-01,246.13156451612903,40,278.74045183397664
2005-10-01,522.5750927419355,41,552.5604139997047
2005-10-01,489.9577862903226,42,508.92966909370136
2005-10-01,787.3338266129032,44,670.3300993483399
2005-10-01,411.68152016129034,45,447.528368854958
2005-10-01,353.4814959677419,46,358.5256867559609
2005-10-01,363.6513508064516,47,408.56373647403234
