StateName,Fips,Year,Month,total_number_hpa,datetime,total_number_hpa_seasonality
Massachusetts,25,2005,3,2010,2005-03-01,2053.846726190476
New Hampshire,33,2005,3,608,2005-03-01,653.7455357142857
Rhode Island,44,2005,3,192,2005-03-01,187.5843253968254
Vermont,50,2005,3,210,2005-03-01,195.79117063492063
New Jersey,34,2005,3,3040,2005-03-01,3128.0215773809523
New York,36,2005,3,4296,2005-03-01,4658.933531746032
Pennsylvania,42,2005,3,3255,2005-03-01,3229.5451388888887
Illinois,17,2005,3,5979,2005-03-01,5972.2609126984125
Indiana,18,2005,3,3343,2005-03-01,3271.1817956349205
Michigan,26,2005,3,3381,2005-03-01,3574.8062996031745
Ohio,39,2005,3,4521,2005-03-01,4573.4067460317465
Wisconsin,55,2005,3,2660,2005-03-01,2829.1019345238096
Iowa,19,2005,3,1744,2005-03-01,1731.264632936508
Kansas,20,2005,3,1335,2005-03-01,1300.6981646825398
Minnesota,27,2005,3,2400,2005-03-01,2560.7274305555557
Missouri,29,2005,3,3062,2005-03-01,2900.4908234126983
Nebraska,31,2005,3,1173,2005-03-01,1203.5233134920634
North Dakota,38,2005,3,256,2005-03-01,372.8794642857143
South Dakota,46,2005,3,541,2005-03-01,532.0925099206349
Delaware,10,2005,3,668,2005-03-01,658.1049107142857
District of Columbia,11,2005,3,182,2005-03-01,202.62326388888889
Florida,12,2005,3,25177,2005-03-01,24555.875
Georgia,13,2005,3,9066,2005-03-01,8559.922867063493
Maryland,24,2005,3,3594,2005-03-01,3447.8053075396824
North Carolina,37,2005,3,8254,2005-03-01,7908.456845238095
South Carolina,45,2005,3,4733,2005-03-01,4517.946428571428
Virginia,51,2005,3,5348,2005-03-01,5036.226934523809
West Virginia,54,2005,3,520,2005-03-01,498.5642361111111
Alabama,1,2005,3,2723,2005-03-01,2641.5091765873017
Kentucky,21,2005,3,2053,2005-03-01,1983.1966765873017
Mississippi,28,2005,3,1422,2005-03-01,1296.2755456349207
Tennessee,47,2005,3,3852,2005-03-01,3436.402777777778
Arkansas,5,2005,3,1525,2005-03-01,1467.859623015873
Louisiana,22,2005,3,2033,2005-03-01,1938.8511904761904
Oklahoma,40,2005,3,1583,2005-03-01,1467.982638888889
Texas,48,2005,3,18053,2005-03-01,17104.380456349205
Arizona,4,2005,3,8006,2005-03-01,7723.433531746032
Colorado,8,2005,3,4102,2005-03-01,3846.1498015873017
Idaho,16,2005,3,1815,2005-03-01,1771.1934523809523
Montana,30,2005,3,526,2005-03-01,536.0597718253969
Nevada,32,2005,3,3708,2005-03-01,3554.1512896825398
New Mexico,35,2005,3,1138,2005-03-01,1068.6803075396826
Utah,49,2005,3,2386,2005-03-01,2364.7673611111113
Wyoming,56,2005,3,253,2005-03-01,251.3814484126984
Alaska,2,2005,3,321,2005-03-01,339.0828373015873
California,6,2005,3,18136,2005-03-01,17513.946428571428
Hawaii,15,2005,3,1080,2005-03-01,1113.1329365079364
Oregon,41,2005,3,3053,2005-03-01,3007.191468253968
Washington,53,2005,3,4741,2005-03-01,4608.169642857143
Connecticut,9,2005,4,907,2005-04-01,926.9444444444445
Maine,23,2005,4,791,2005-04-01,762.9670138888889
Massachusetts,25,2005,4,1721,2005-04-01,1798.9151785714284
New Hampshire,33,2005,4,677,2005-04-01,677.9419642857143
Rhode Island,44,2005,4,184,2005-04-01,192.94146825396825
Vermont,50,2005,4,322,2005-04-01,316.99652777777777
New Jersey,34,2005,4,3790,2005-04-01,3858.715029761905
New York,36,2005,4,5566,2005-04-01,5592.7192460317465
Pennsylvania,42,2005,4,3873,2005-04-01,3653.720734126984
Illinois,17,2005,4,5976,2005-04-01,5717.109126984127
