region,sub_region,StateName,Fips,Year,Month,total_number_hpa
South,East South Central,Tennessee,47,2005,3,3852
South,West South Central,Arkansas,5,2005,3,1525
South,West South Central,Louisiana,22,2005,3,2033
South,West South Central,Oklahoma,40,2005,3,1583
South,West South Central,Texas,48,2005,3,18053
West,Mountain,Arizona,4,2005,3,8006
West,Mountain,Colorado,8,2005,3,4102
West,Mountain,Idaho,16,2005,3,1815
West,Mountain,Montana,30,2005,3,526
West,Mountain,Nevada,32,2005,3,3708
West,Mountain,New Mexico,35,2005,3,1138
West,Mountain,Utah,49,2005,3,2386
West,Mountain,Wyoming,56,2005,3,253
West,Pacific,Alaska,2,2005,3,321
West,Pacific,California,6,2005,3,18136
West,Pacific,Hawaii,15,2005,3,1080
West,Pacific,Oregon,41,2005,3,3053
West,Pacific,Washington,53,2005,3,4741
North East,New England,Connecticut,9,2005,4,907
North East,New England,Maine,23,2005,4,791
North East,New England,Massachusetts,25,2005,4,1721
North East,New England,New Hampshire,33,2005,4,677
North East,New England,Rhode Island,44,2005,4,184
North East,New England,Vermont,50,2005,4,322
North East,mid atlantic,New Jersey,34,2005,4,3790
North East,mid atlantic,New York,36,2005,4,5566
North East,mid atlantic,Pennsylvania,42,2005,4,3873
Midwest,East North Central,Illinois,17,2005,4,5976
Midwest,East North Central,Indiana,18,2005,4,3834
Midwest,East North Central,Michigan,26,2005,4,4474
Midwest,East North Central,Ohio,39,2005,4,5362
Midwest,East North Central,Wisconsin,55,2005,4,3618
Midwest,West North Central,Iowa,19,2005,4,1889
Midwest,West North Central,Kansas,20,2005,4,1310
Midwest,West North Central,Minnesota,27,2005,4,3635
Midwest,West North Central,Missouri,29,2005,4,3526
Midwest,West North Central,Nebraska,31,2005,4,867
Midwest,West North Central,North Dakota,38,2005,4,424
Midwest,West North Central,South Dakota,46,2005,4,665
South,South Atlantic,Delaware,10,2005,4,846
South,South Atlantic,District of Columbia,11,2005,4,226
South,South Atlantic,Florida,12,2005,4,25394
South,South Atlantic,Georgia,13,2005,4,8507
South,South Atlantic,Maryland,24,2005,4,2785
South,South Atlantic,North Carolina,37,2005,4,9125
South,South Atlantic,South Carolina,45,2005,4,4041
South,South Atlantic,Virginia,51,2005,4,5047
