Fips,Month,Unemployment Rate,Year
5,1,4.6,2021
5,2,4.5,2021
5,3,4.4,2021
5,4,4.4,2021
5,5,4.4,2021
5,6,4.4,2021
5,7,4.3,2021
5,8,4.2,2021
5,9,4.0,2021
5,10,3.7,2021
6,1,5.0,2000
6,2,5.0,2000
6,3,5.0,2000
6,4,5.0,2000
6,5,5.0,2000
6,6,5.0,2000
6,7,5.0,2000
6,8,4.9,2000
6,9,4.8,2000
6,10,4.8,2000
6,11,4.8,2000
6,12,4.8,2000
6,1,4.8,2001
6,2,4.8,2001
6,3,4.9,2001
6,4,5.0,2001
6,5,5.1,2001
6,6,5.2,2001
6,7,5.4,2001
6,8,5.6,2001
6,9,5.9,2001
6,10,6.1,2001
6,11,6.3,2001
6,12,6.5,2001
6,1,6.6,2002
6,2,6.7,2002
6,3,6.7,2002
6,4,6.7,2002
6,5,6.8,2002
6,6,6.8,2002
6,7,6.8,2002
6,8,6.7,2002
6,9,6.8,2002
6,10,6.8,2002
6,11,6.8,2002
6,12,6.9,2002
6,1,6.9,2003
6,2,6.9,2003
6,3,6.9,2003
6,4,7.0,2003
6,5,7.0,2003
6,6,7.0,2003
6,7,7.0,2003
6,8,7.0,2003
6,9,6.9,2003
6,10,6.8,2003
6,11,6.7,2003
6,12,6.6,2003
6,1,6.6,2004
6,2,6.5,2004
6,3,6.5,2004
6,4,6.4,2004
6,5,6.4,2004
6,6,6.3,2004
6,7,6.2,2004
6,8,6.1,2004
6,9,6.0,2004
6,10,5.9,2004
6,11,5.9,2004
6,12,5.8,2004
6,1,5.8,2005
6,2,5.7,2005
6,3,5.6,2005
6,4,5.5,2005
6,5,5.4,2005
6,6,5.3,2005
6,7,5.3,2005
6,8,5.3,2005
6,9,5.2,2005
6,10,5.2,2005
6,11,5.2,2005
6,12,5.1,2005
6,1,5.0,2006
6,2,5.0,2006
6,3,4.9,2006
6,4,4.9,2006
6,5,4.9,2006
6,6,4.9,2006
6,7,4.9,2006
6,8,4.9,2006
6,9,4.9,2006
6,10,4.9,2006
6,11,4.9,2006
6,12,4.9,2006
6,1,4.9,2007
6,2,5.0,2007
6,3,5.0,2007
6,4,5.1,2007
6,5,5.1,2007
6,6,5.2,2007
6,7,5.3,2007
6,8,5.4,2007
6,9,5.5,2007
6,10,5.7,2007
6,11,5.7,2007
6,12,5.8,2007
6,1,5.9,2008
6,2,6.0,2008
6,3,6.2,2008
6,4,6.4,2008
6,5,6.7,2008
6,6,7.0,2008
6,7,7.3,2008
6,8,7.6,2008
6,9,8.0,2008
6,10,8.4,2008
6,11,8.8,2008
6,12,9.3,2008
6,1,9.9,2009
6,2,10.4,2009
6,3,10.8,2009
6,4,11.2,2009
6,5,11.4,2009
6,6,11.7,2009
6,7,11.8,2009
6,8,12.0,2009
6,9,12.1,2009
6,10,12.3,2009
6,11,12.4,2009
6,12,12.5,2009
6,1,12.6,2010
6,2,12.6,2010
6,3,12.6,2010
6,4,12.5,2010
6,5,12.5,2010
6,6,12.4,2010
6,7,12.3,2010
6,8,12.4,2010
6,9,12.4,2010
6,10,12.4,2010
6,11,12.4,2010
6,12,12.4,2010
6,1,12.3,2011
6,2,12.2,2011
6,3,12.1,2011
6,4,12.0,2011
6,5,12.0,2011
6,6,12.0,2011
6,7,12.0,2011
6,8,11.9,2011
6,9,11.8,2011
6,10,11.6,2011
6,11,11.5,2011
6,12,11.3,2011
6,1,11.2,2012
6,2,11.0,2012
6,3,11.0,2012
6,4,10.9,2012
6,5,10.8,2012
6,6,10.7,2012
6,7,10.5,2012
6,8,10.3,2012
6,9,10.2,2012
6,10,10.0,2012
6,11,9.9,2012
6,12,9.8,2012
6,1,9.7,2013
6,2,9.5,2013
6,3,9.4,2013
6,4,9.3,2013
6,5,9.2,2013
6,6,9.1,2013
6,7,9.0,2013
6,8,8.9,2013
6,9,8.8,2013
6,10,8.6,2013
6,11,8.5,2013
6,12,8.4,2013
6,1,8.2,2014
6,2,8.1,2014
6,3,8.0,2014
6,4,7.8,2014
6,5,7.7,2014
6,6,7.6,2014
6,7,7.5,2014
6,8,7.4,2014
6,9,7.3,2014
6,10,7.2,2014
6,11,7.1,2014
6,12,6.9,2014
6,1,6.8,2015
6,2,6.7,2015
6,3,6.6,2015
6,4,6.5,2015
6,5,6.4,2015
6,6,6.3,2015
6,7,6.2,2015
6,8,6.0,2015
6,9,5.9,2015
6,10,5.8,2015
6,11,5.8,2015
6,12,5.7,2015
6,1,5.7,2016
6,2,5.6,2016
6,3,5.6,2016
6,4,5.5,2016
6,5,5.5,2016
6,6,5.5,2016
6,7,5.5,2016
6,8,5.5,2016
6,9,5.5,2016
6,10,5.5,2016
6,11,5.4,2016
6,12,5.4,2016
6,1,5.3,2017
6,2,5.2,2017
6,3,5.1,2017
6,4,5.0,2017
6,5,4.9,2017
6,6,4.8,2017
6,7,4.8,2017
6,8,4.7,2017
6,9,4.7,2017
6,10,4.6,2017
6,11,4.5,2017
6,12,4.5,2017
6,1,4.4,2018
6,2,4.4,2018
6,3,4.3,2018
6,4,4.3,2018
6,5,4.2,2018
6,6,4.2,2018
6,7,4.2,2018
6,8,4.2,2018
6,9,4.2,2018
6,10,4.3,2018
6,11,4.3,2018
6,12,4.3,2018
6,1,4.3,2019
