"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.64803,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-12",99.84227,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.0072,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.142,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.3459,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-04",100.5417,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-05",100.7287,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-06",100.9772,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-07",101.1302,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-08",101.2652,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-09",101.3839,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-10",101.4339,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-11",101.4593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-12",101.5659,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-01",101.6435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-02",101.6063,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-03",101.5839,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-04",101.6423,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-05",101.7278,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-06",101.7982,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-07",101.7208,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",101.5025,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",101.1143,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.8831,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.6969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-12",100.4727,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-01",100.2163,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.94656,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-03",99.73141,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-04",99.43654,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",99.17731,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",98.88792,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",98.61217,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",98.69812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",98.8591,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",98.84502,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",98.77048,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",98.67128,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.57902,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",98.49404,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",98.47771,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",98.72163,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",99.07482,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",99.30471,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",99.54859,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.83128,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",100.0737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",100.2518,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.5174,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.7514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.8821,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.8093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.5888,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.2526,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.0929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.083,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1635,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.2202,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.225,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.2259,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.1694,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.1197,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.2842,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.4869,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.4099,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.2249,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.0157,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",99.73309,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.11934,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.46468,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.97443,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.7295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",97.52975,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",97.45448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",97.54156,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",97.62604,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",97.71053,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",97.61263,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",97.63763,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",97.93497,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.14186,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.25349,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.11639,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",97.72691,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",97.51044,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",97.40131,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.26437,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",97.46162,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",97.82175,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.04233,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.02387,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",97.96486,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.12772,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.48764,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.04305,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.62921,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.057,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.3473,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.6026,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.7647,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.7846,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.8237,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.8398,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.7207,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.5688,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.5197,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.5474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.5134,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.4855,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4731,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5173,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6246,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6757,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7913,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.9181,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.9659,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",101.0275,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.0626,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.0737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.1014,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.025,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.8024,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5308,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3223,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2759,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4615,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4927,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.6031,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.1295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.2794,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.365,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.4345,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.5406,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.5763,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.5317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.4428,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.4986,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.6415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.7162,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.7054,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.7029,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.6717,
