Fips,Unemployment Rate,datetime,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality
23,5.8,2014-04-01,250,221.9670138888889,1329429.4493150685,60.97748015873016,21.25,67.21560846560847,7.639203042328042,71.03756613756613,80.59751984126984,47.11248346560846,49.794940476190476,97.55363756613757,51.19560185185185,37.62066798941799
23,5.7,2014-05-01,360,278.21999007936506,1329649.2301369864,30.61359126984127,1.022222222222222,53.56283068783068,9.34198082010582,35.54867724867725,83.04196428571429,33.23470568783069,100.9421626984127,94.39530423280424,38.11226851851852,50.35400132275132
23,5.6,2014-06-01,384,264.32415674603175,1329876.3369863015,30.68105158730159,10.508333333333333,67.63108465608465,2.17432208994709,0.05066137566137413,63.455059523809524,34.89879298941799,-7.836011904761905,83.8183201058201,46.228935185185186,46.76154100529101
23,5.5,2014-07-01,340,278.03546626984127,1330096.1178082193,61.63303571428571,-1.4166666666666672,62.9739417989418,-2.316352513227513,43.118121693121694,50.414186507936506,31.58192791005291,-10.730059523809526,14.42308201058201,52.378935185185185,58.390112433862434
23,5.4,2014-08-01,294,239.2557043650794,1330323.2246575342,37.27748015873016,39.21944444444445,41.646164021164026,2.878091931216931,14.965343915343915,64.39474206349206,25.879150132275132,32.572718253968254,24.867526455026454,28.553935185185185,59.10400132275132
23,5.3,2014-09-01,314,252.88368055555557,1330550.3315068493,30.75803571428571,5.78888888888889,52.64616402116402,-1.9941302910052912,70.85701058201059,87.69751984126984,41.315261243386246,34.728273809523806,54.81752645502645,37.21782407407407,38.0567791005291
23,5.2,2014-10-01,331,305.3985615079365,1330770.112328767,75.88581349206349,66.81666666666666,69.0989417989418,-4.666352513227514,21.826455026455026,37.67529761904762,37.56803902116402,110.63660714285714,41.170304232804234,44.351157407407406,33.198445767195764
23,5.2,2014-11-01,233,264.8360615079365,1330997.2191780822,56.56359126984127,22.738888888888887,52.27671957671958,9.033647486772487,50.85701058201058,33.791964285714286,21.687483465608466,44.65882936507936,43.4619708994709,38.36782407407407,59.115112433862436
23,5.0,2014-12-01,210,307.6664186507936,1331217.0,30.641369047619047,5.072222222222221,49.043386243386244,77.40031415343915,15.42089947089947,80.11140873015873,27.568039021164022,26.90327380952381,11.486970899470897,37.601157407407406,50.22900132275132
23,4.9,2015-01-01,186,321.1783234126984,1331037.0301369864,38.899702380952384,57.33888888888889,33.5989417989418,-6.866352513227513,49.35978835978836,74.88918650793651,40.85415013227513,-4.535615079365079,41.36474867724868,49.39837962962963,37.29566798941799
23,4.8,2015-02-01,59,193.02951388888886,1330857.0602739726,55.366369047619045,67.60277777777777,48.75449735449735,-9.60801917989418,21.554232804232804,46.77529761904762,37.1458167989418,6.936607142857143,-2.27691798941799,41.34560185185185,33.09844576719577
23,4.7,2015-03-01,273,307.20510912698415,1330694.506849315,40.70248015873016,17.058333333333334,74.55171957671958,-2.0163525132275124,1.404232804232805,50.15585317460317,29.154150132275134,43.92827380952381,18.917526455026458,56.248379629629625,52.77622354497355
23,4.6,2015-04-01,262,233.9670138888889,1330514.5369863014,39.97748015873016,52.25,50.21560846560846,7.639203042328042,8.037566137566138,93.59751984126984,43.11248346560846,1.794940476190476,-2.4463624338624332,50.19560185185185,67.620667989418
