Unemployment Rate,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality,Fips,datetime,HPI,HPI_inf,IntRate,CCI
14.600000000000001,8017,8083.926339285714,13611778.528767124,111.4984623015873,24.92172619047619,91.70709325396825,-3.0818948412698397,45.88095238095238,50.066765873015875,166.87142857142857,48.895535714285714,5.823313492063493,112.30749007936507,-2.7470734126984135,1,2005-04-01,262.46,352.8628888888889,3.75,100.4529
21.0,515,614.8169642857142,1981698.493150685,69.5970734126984,114.00882936507936,105.11944444444444,86.73348214285714,-10.686954365079368,144.17465277777777,200.87098214285714,-4.100843253968256,65.44652777777779,128.37455357142858,-9.886904761904763,2,2005-04-01,247.86,333.23400000000004,3.75,100.4529
13.899999999999999,20867,21059.27380952381,17050804.216438357,184.378125,63.22519841269842,171.24960317460318,63.46884920634921,15.534623015873015,141.1355158730159,201.16736111111112,46.779811507936515,27.424652777777776,214.52450396825395,-8.183630952380952,4,2005-04-01,341.95,459.7327777777778,3.75,100.4529
16.0,4267,4301.733630952381,8264806.528767124,58.33090277777778,81.45109126984127,101.37986111111111,-12.230902777777777,2.7006944444444434,126.1483630952381,143.89756944444446,63.79300595238095,135.42564484126984,192.46641865079366,-3.3914682539682537,5,2005-04-01,232.55,312.65055555555557,3.75,100.4529
17.1,46309,47793.580357142855,106850758.57808219,143.94057539682538,31.182093253968254,115.88105158730158,77.97822420634921,30.316121031746032,81.24429563492063,187.0264880952381,35.7703869047619,78.19885912698413,168.87738095238095,-6.064087301587302,6,2005-04-01,570.63,767.1803333333334,3.75,100.4529
16.1,10488,10986.264880952382,13753554.410958905,133.7003968253968,19.62683531746032,160.66542658730157,87.76334325396826,76.221875,119.82366071428572,180.94464285714287,10.340277777777779,51.144841269841265,158.6612103174603,-13.548363095238097,8,2005-04-01,342.21,460.08233333333334,3.75,100.4529
14.700000000000001,2084,2378.5505952380954,10493727.879452055,117.58462301587302,14.146874999999998,107.99310515873016,23.94047619047619,30.21939484126984,160.23829365079365,177.47242063492064,48.590426587301586,53.62911706349206,135.993501984127,-7.408779761904761,9,2005-04-01,435.98,586.150888888889,3.75,100.4529
13.5,1887,1981.796875,2499602.1534246574,86.37232142857144,0.3578869047619071,223.3622023809524,201.81354166666668,-10.818998015873017,135.84161706349207,167.61378968253968,-20.923611111111114,123.27033730158732,271.7752976190476,11.951587301587303,10,2005-04-01,435.65,585.7072222222222,3.75,100.4529
23.7,565,660.3191964285714,1702952.1534246574,141.0952380952381,57.708978174603175,114.93392857142857,44.796527777777776,67.04325396825396,109.67380952380952,184.65243055555555,47.61240079365079,32.53015873015873,104.79861111111111,-2.0432539682539668,11,2005-04-01,529.87,712.3807777777778,3.75,100.4529
9.9,65872,65507.31547619047,52459898.5479452,202.48804563492064,96.50952380952381,145.34429563492063,84.71626984126985,58.13412698412698,142.01750992063492,189.71959325396824,21.010664682539684,36.50168650793651,200.57624007936508,-11.128174603174605,12,2005-04-01,395.85,532.1983333333334,3.75,100.4529
