geoName,Real Estate,year
South Carolina,59,2005-04-30
South Dakota,16,2005-04-30
Tennessee,44,2005-04-30
Texas,37,2005-04-30
Utah,69,2005-04-30
Vermont,89,2005-04-30
Virginia,51,2005-04-30
Washington,50,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,29,2005-04-30
Wyoming,100,2005-04-30
Alabama,40,2005-05-31
Alaska,53,2005-05-31
Arizona,63,2005-05-31
Arkansas,54,2005-05-31
California,45,2005-05-31
Colorado,36,2005-05-31
Connecticut,48,2005-05-31
Delaware,40,2005-05-31
District of Columbia,50,2005-05-31
Florida,48,2005-05-31
Georgia,48,2005-05-31
Hawaii,64,2005-05-31
Idaho,87,2005-05-31
Illinois,39,2005-05-31
Indiana,27,2005-05-31
Iowa,19,2005-05-31
Kansas,33,2005-05-31
Kentucky,37,2005-05-31
Louisiana,49,2005-05-31
Maine,25,2005-05-31
Maryland,46,2005-05-31
Massachusetts,36,2005-05-31
Michigan,32,2005-05-31
Minnesota,32,2005-05-31
Mississippi,9,2005-05-31
Missouri,46,2005-05-31
Montana,81,2005-05-31
Nebraska,37,2005-05-31
Nevada,50,2005-05-31
New Hampshire,31,2005-05-31
New Jersey,36,2005-05-31
New Mexico,36,2005-05-31
New York,43,2005-05-31
North Carolina,40,2005-05-31
North Dakota,34,2005-05-31
Ohio,35,2005-05-31
Oklahoma,36,2005-05-31
Oregon,58,2005-05-31
Pennsylvania,37,2005-05-31
Rhode Island,37,2005-05-31
South Carolina,48,2005-05-31
South Dakota,23,2005-05-31
Tennessee,43,2005-05-31
Texas,26,2005-05-31
Utah,53,2005-05-31
Vermont,100,2005-05-31
Virginia,46,2005-05-31
Washington,52,2005-05-31
West Virginia,23,2005-05-31
Wisconsin,29,2005-05-31
Wyoming,74,2005-05-31
Alabama,45,2005-06-30
Alaska,38,2005-06-30
Arizona,59,2005-06-30
Arkansas,63,2005-06-30
California,48,2005-06-30
Colorado,39,2005-06-30
Connecticut,55,2005-06-30
Delaware,46,2005-06-30
District of Columbia,36,2005-06-30
Florida,48,2005-06-30
Georgia,41,2005-06-30
Hawaii,53,2005-06-30
Idaho,54,2005-06-30
Illinois,39,2005-06-30
Indiana,26,2005-06-30
Iowa,15,2005-06-30
Kansas,41,2005-06-30
