geoName,Mortgage,year
South Carolina,100,2005-04-30
South Dakota,0,2005-04-30
Tennessee,20,2005-04-30
Texas,12,2005-04-30
Utah,0,2005-04-30
Vermont,0,2005-04-30
Virginia,45,2005-04-30
Washington,16,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,14,2005-04-30
Wyoming,0,2005-04-30
Alabama,25,2005-05-31
Alaska,0,2005-05-31
Arizona,0,2005-05-31
Arkansas,0,2005-05-31
California,14,2005-05-31
Colorado,11,2005-05-31
Connecticut,31,2005-05-31
Delaware,0,2005-05-31
District of Columbia,11,2005-05-31
Florida,20,2005-05-31
Georgia,12,2005-05-31
Hawaii,0,2005-05-31
Idaho,0,2005-05-31
Illinois,4,2005-05-31
Indiana,52,2005-05-31
Iowa,0,2005-05-31
Kansas,0,2005-05-31
Kentucky,0,2005-05-31
Louisiana,25,2005-05-31
Maine,49,2005-05-31
Maryland,30,2005-05-31
Massachusetts,17,2005-05-31
Michigan,0,2005-05-31
Minnesota,21,2005-05-31
Mississippi,68,2005-05-31
Missouri,20,2005-05-31
Montana,100,2005-05-31
Nebraska,39,2005-05-31
Nevada,0,2005-05-31
New Hampshire,41,2005-05-31
New Jersey,12,2005-05-31
New Mexico,0,2005-05-31
New York,12,2005-05-31
North Carolina,9,2005-05-31
North Dakota,0,2005-05-31
Ohio,27,2005-05-31
Oklahoma,29,2005-05-31
Oregon,13,2005-05-31
Pennsylvania,22,2005-05-31
Rhode Island,0,2005-05-31
South Carolina,0,2005-05-31
South Dakota,0,2005-05-31
Tennessee,31,2005-05-31
Texas,9,2005-05-31
Utah,26,2005-05-31
Vermont,0,2005-05-31
Virginia,23,2005-05-31
Washington,6,2005-05-31
West Virginia,0,2005-05-31
Wisconsin,12,2005-05-31
Wyoming,0,2005-05-31
Alabama,59,2005-06-30
Alaska,0,2005-06-30
Arizona,37,2005-06-30
Arkansas,0,2005-06-30
California,18,2005-06-30
Colorado,39,2005-06-30
Connecticut,19,2005-06-30
Delaware,0,2005-06-30
District of Columbia,54,2005-06-30
Florida,23,2005-06-30
Georgia,34,2005-06-30
Hawaii,0,2005-06-30
Idaho,79,2005-06-30
Illinois,35,2005-06-30
Indiana,0,2005-06-30
Iowa,0,2005-06-30
Kansas,29,2005-06-30
Kentucky,0,2005-06-30
Louisiana,58,2005-06-30
Maine,0,2005-06-30
Maryland,12,2005-06-30
Massachusetts,27,2005-06-30
Michigan,28,2005-06-30
Minnesota,25,2005-06-30
Mississippi,0,2005-06-30
Missouri,12,2005-06-30
Montana,0,2005-06-30
Nebraska,0,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,7,2005-06-30
New Mexico,0,2005-06-30
New York,26,2005-06-30
North Carolina,30,2005-06-30
North Dakota,0,2005-06-30
Ohio,31,2005-06-30
Oklahoma,0,2005-06-30
Oregon,16,2005-06-30
Pennsylvania,25,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,0,2005-06-30
South Dakota,0,2005-06-30
Tennessee,36,2005-06-30
Texas,18,2005-06-30
Utah,31,2005-06-30
Vermont,0,2005-06-30
Virginia,28,2005-06-30
Washington,24,2005-06-30
West Virginia,100,2005-06-30
Wisconsin,14,2005-06-30
Wyoming,0,2005-06-30
Alabama,0,2005-07-31
Alaska,0,2005-07-31
Arizona,7,2005-07-31
Arkansas,37,2005-07-31
California,8,2005-07-31
Colorado,8,2005-07-31
Connecticut,23,2005-07-31
Delaware,0,2005-07-31
District of Columbia,8,2005-07-31
Florida,11,2005-07-31
Georgia,12,2005-07-31
Hawaii,0,2005-07-31
Idaho,0,2005-07-31
Illinois,9,2005-07-31
Indiana,12,2005-07-31
Iowa,21,2005-07-31
Kansas,0,2005-07-31
Kentucky,0,2005-07-31
Louisiana,18,2005-07-31
Maine,0,2005-07-31
Maryland,7,2005-07-31
Massachusetts,8,2005-07-31
Michigan,0,2005-07-31
Minnesota,22,2005-07-31
Mississippi,47,2005-07-31
Missouri,0,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,48,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,9,2005-07-31
New Mexico,0,2005-07-31
New York,7,2005-07-31
North Carolina,6,2005-07-31
North Dakota,0,2005-07-31
Ohio,5,2005-07-31
Oklahoma,57,2005-07-31
Oregon,0,2005-07-31
Pennsylvania,11,2005-07-31
Rhode Island,33,2005-07-31
South Carolina,0,2005-07-31
South Dakota,0,2005-07-31
Tennessee,10,2005-07-31
Texas,21,2005-07-31
Utah,0,2005-07-31
Vermont,0,2005-07-31
Virginia,4,2005-07-31
Washington,5,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,0,2005-07-31
Wyoming,100,2005-07-31
Alabama,0,2005-08-31
Alaska,0,2005-08-31
Arizona,8,2005-08-31
Arkansas,0,2005-08-31
California,7,2005-08-31
Colorado,23,2005-08-31
Connecticut,12,2005-08-31
Delaware,0,2005-08-31
District of Columbia,0,2005-08-31
Florida,14,2005-08-31
Georgia,17,2005-08-31
Hawaii,32,2005-08-31
Idaho,0,2005-08-31
Illinois,6,2005-08-31
Indiana,11,2005-08-31
Iowa,21,2005-08-31
Kansas,0,2005-08-31
Kentucky,25,2005-08-31
Louisiana,0,2005-08-31
Maine,0,2005-08-31
Maryland,15,2005-08-31
Massachusetts,4,2005-08-31
