geoName,Home,year
South Carolina,95,2005-04-30
South Dakota,67,2005-04-30
Tennessee,58,2005-04-30
Texas,57,2005-04-30
Utah,86,2005-04-30
Vermont,76,2005-04-30
Virginia,62,2005-04-30
Washington,69,2005-04-30
West Virginia,25,2005-04-30
Wisconsin,49,2005-04-30
Wyoming,41,2005-04-30
Alabama,41,2005-05-31
Alaska,19,2005-05-31
Arizona,82,2005-05-31
Arkansas,82,2005-05-31
California,46,2005-05-31
Colorado,67,2005-05-31
Connecticut,26,2005-05-31
Delaware,66,2005-05-31
District of Columbia,57,2005-05-31
Florida,77,2005-05-31
Georgia,61,2005-05-31
Hawaii,21,2005-05-31
Idaho,32,2005-05-31
Illinois,38,2005-05-31
Indiana,62,2005-05-31
Iowa,52,2005-05-31
Kansas,48,2005-05-31
Kentucky,27,2005-05-31
Louisiana,61,2005-05-31
Maine,24,2005-05-31
Maryland,43,2005-05-31
Massachusetts,30,2005-05-31
Michigan,48,2005-05-31
Minnesota,38,2005-05-31
Mississippi,33,2005-05-31
Missouri,44,2005-05-31
Montana,48,2005-05-31
Nebraska,84,2005-05-31
Nevada,83,2005-05-31
New Hampshire,20,2005-05-31
New Jersey,33,2005-05-31
New Mexico,100,2005-05-31
New York,26,2005-05-31
North Carolina,52,2005-05-31
North Dakota,0,2005-05-31
Ohio,53,2005-05-31
Oklahoma,14,2005-05-31
Oregon,73,2005-05-31
Pennsylvania,38,2005-05-31
Rhode Island,33,2005-05-31
South Carolina,89,2005-05-31
South Dakota,0,2005-05-31
Tennessee,44,2005-05-31
Texas,53,2005-05-31
Utah,19,2005-05-31
Vermont,66,2005-05-31
Virginia,49,2005-05-31
Washington,51,2005-05-31
West Virginia,43,2005-05-31
Wisconsin,42,2005-05-31
Wyoming,35,2005-05-31
Alabama,60,2005-06-30
Alaska,100,2005-06-30
Arizona,73,2005-06-30
Arkansas,73,2005-06-30
California,41,2005-06-30
Colorado,58,2005-06-30
Connecticut,39,2005-06-30
Delaware,41,2005-06-30
District of Columbia,33,2005-06-30
Florida,67,2005-06-30
Georgia,67,2005-06-30
Hawaii,28,2005-06-30
Idaho,88,2005-06-30
Illinois,25,2005-06-30
Indiana,22,2005-06-30
Iowa,27,2005-06-30
Kansas,32,2005-06-30
Kentucky,24,2005-06-30
Louisiana,38,2005-06-30
Maine,47,2005-06-30
Maryland,53,2005-06-30
Massachusetts,28,2005-06-30
Michigan,40,2005-06-30
Minnesota,62,2005-06-30
Mississippi,55,2005-06-30
Missouri,66,2005-06-30
Montana,66,2005-06-30
Nebraska,26,2005-06-30
Nevada,58,2005-06-30
New Hampshire,53,2005-06-30
New Jersey,32,2005-06-30
New Mexico,22,2005-06-30
New York,31,2005-06-30
North Carolina,64,2005-06-30
North Dakota,30,2005-06-30
Ohio,36,2005-06-30
Oklahoma,67,2005-06-30
Oregon,54,2005-06-30
Pennsylvania,34,2005-06-30
Rhode Island,40,2005-06-30
South Carolina,57,2005-06-30
South Dakota,0,2005-06-30
Tennessee,37,2005-06-30
Texas,52,2005-06-30
Utah,74,2005-06-30
Vermont,46,2005-06-30
Virginia,40,2005-06-30
Washington,57,2005-06-30
West Virginia,37,2005-06-30
Wisconsin,43,2005-06-30
Wyoming,64,2005-06-30
Alabama,50,2005-07-31
Alaska,51,2005-07-31
Arizona,55,2005-07-31
Arkansas,9,2005-07-31
California,31,2005-07-31
Colorado,40,2005-07-31
Connecticut,25,2005-07-31
Delaware,49,2005-07-31
District of Columbia,34,2005-07-31
Florida,47,2005-07-31
Georgia,35,2005-07-31
Hawaii,37,2005-07-31
Idaho,65,2005-07-31
Illinois,39,2005-07-31
Indiana,42,2005-07-31
Iowa,26,2005-07-31
Kansas,41,2005-07-31
Kentucky,29,2005-07-31
Louisiana,48,2005-07-31
Maine,51,2005-07-31
Maryland,48,2005-07-31
Massachusetts,25,2005-07-31
Michigan,43,2005-07-31
Minnesota,34,2005-07-31
Mississippi,22,2005-07-31
Missouri,36,2005-07-31
Montana,32,2005-07-31
Nebraska,25,2005-07-31
Nevada,40,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,23,2005-07-31
New Mexico,100,2005-07-31
New York,25,2005-07-31
North Carolina,51,2005-07-31
North Dakota,47,2005-07-31
Ohio,34,2005-07-31
Oklahoma,32,2005-07-31
Oregon,21,2005-07-31
Pennsylvania,27,2005-07-31
Rhode Island,48,2005-07-31
South Carolina,56,2005-07-31
South Dakota,58,2005-07-31
Tennessee,30,2005-07-31
Texas,32,2005-07-31
Utah,70,2005-07-31
Vermont,24,2005-07-31
Virginia,45,2005-07-31
Washington,22,2005-07-31
West Virginia,14,2005-07-31
Wisconsin,20,2005-07-31
Wyoming,48,2005-07-31
Alabama,54,2005-08-31
Alaska,42,2005-08-31
Arizona,78,2005-08-31
Arkansas,65,2005-08-31
California,54,2005-08-31
Colorado,56,2005-08-31
Connecticut,40,2005-08-31
Delaware,25,2005-08-31
District of Columbia,37,2005-08-31
Florida,61,2005-08-31
Georgia,43,2005-08-31
Hawaii,24,2005-08-31
Idaho,100,2005-08-31
Illinois,50,2005-08-31
Indiana,17,2005-08-31
Iowa,31,2005-08-31
Kansas,41,2005-08-31
Kentucky,46,2005-08-31
Louisiana,37,2005-08-31
Maine,91,2005-08-31
Maryland,48,2005-08-31
Massachusetts,48,2005-08-31
Michigan,36,2005-08-31
Minnesota,44,2005-08-31
Mississippi,79,2005-08-31
Missouri,56,2005-08-31
Montana,24,2005-08-31
Nebraska,92,2005-08-31
Nevada,48,2005-08-31
New Hampshire,33,2005-08-31
New Jersey,56,2005-08-31
New Mexico,40,2005-08-31
New York,41,2005-08-31
North Carolina,61,2005-08-31
North Dakota,0,2005-08-31
Ohio,63,2005-08-31
Oklahoma,68,2005-08-31
Oregon,79,2005-08-31
Pennsylvania,34,2005-08-31
Rhode Island,36,2005-08-31
South Carolina,75,2005-08-31
South Dakota,60,2005-08-31
Tennessee,41,2005-08-31
Texas,50,2005-08-31
Utah,76,2005-08-31
