geoName,Investment,year
South Carolina,29,2005-04-30
South Dakota,0,2005-04-30
Tennessee,0,2005-04-30
Texas,14,2005-04-30
Utah,0,2005-04-30
Vermont,0,2005-04-30
Virginia,13,2005-04-30
Washington,28,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,12,2005-04-30
Wyoming,0,2005-04-30
Alabama,0,2005-05-31
Alaska,0,2005-05-31
Arizona,17,2005-05-31
Arkansas,0,2005-05-31
California,14,2005-05-31
Colorado,24,2005-05-31
Connecticut,8,2005-05-31
Delaware,100,2005-05-31
District of Columbia,12,2005-05-31
Florida,15,2005-05-31
Georgia,13,2005-05-31
Hawaii,0,2005-05-31
Idaho,0,2005-05-31
Illinois,9,2005-05-31
Indiana,9,2005-05-31
Iowa,0,2005-05-31
Kansas,14,2005-05-31
Kentucky,20,2005-05-31
Louisiana,14,2005-05-31
Maine,27,2005-05-31
Maryland,22,2005-05-31
Massachusetts,6,2005-05-31
Michigan,4,2005-05-31
Minnesota,6,2005-05-31
Mississippi,37,2005-05-31
Missouri,44,2005-05-31
Montana,0,2005-05-31
Nebraska,0,2005-05-31
Nevada,19,2005-05-31
New Hampshire,22,2005-05-31
New Jersey,7,2005-05-31
New Mexico,0,2005-05-31
New York,9,2005-05-31
North Carolina,0,2005-05-31
North Dakota,0,2005-05-31
Ohio,14,2005-05-31
Oklahoma,0,2005-05-31
Oregon,7,2005-05-31
Pennsylvania,3,2005-05-31
Rhode Island,0,2005-05-31
South Carolina,29,2005-05-31
South Dakota,0,2005-05-31
Tennessee,0,2005-05-31
Texas,12,2005-05-31
Utah,0,2005-05-31
Vermont,0,2005-05-31
Virginia,9,2005-05-31
Washington,0,2005-05-31
West Virginia,0,2005-05-31
Wisconsin,6,2005-05-31
Wyoming,0,2005-05-31
Alabama,0,2005-06-30
Alaska,0,2005-06-30
Arizona,22,2005-06-30
Arkansas,0,2005-06-30
California,18,2005-06-30
Colorado,0,2005-06-30
Connecticut,23,2005-06-30
Delaware,0,2005-06-30
District of Columbia,8,2005-06-30
Florida,28,2005-06-30
Georgia,17,2005-06-30
Hawaii,60,2005-06-30
Idaho,48,2005-06-30
Illinois,6,2005-06-30
Indiana,12,2005-06-30
Iowa,0,2005-06-30
Kansas,0,2005-06-30
Kentucky,0,2005-06-30
Louisiana,0,2005-06-30
Maine,0,2005-06-30
Maryland,7,2005-06-30
Massachusetts,8,2005-06-30
Michigan,6,2005-06-30
Minnesota,0,2005-06-30
Mississippi,0,2005-06-30
Missouri,29,2005-06-30
Montana,0,2005-06-30
Nebraska,28,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,23,2005-06-30
New Mexico,0,2005-06-30
New York,5,2005-06-30
North Carolina,6,2005-06-30
North Dakota,0,2005-06-30
Ohio,0,2005-06-30
Oklahoma,0,2005-06-30
Oregon,20,2005-06-30
Pennsylvania,8,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,0,2005-06-30
South Dakota,0,2005-06-30
Tennessee,0,2005-06-30
Texas,9,2005-06-30
Utah,0,2005-06-30
Vermont,100,2005-06-30
Virginia,8,2005-06-30
Washington,15,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,16,2005-06-30
Wyoming,0,2005-06-30
Alabama,52,2005-07-31
Alaska,0,2005-07-31
Arizona,14,2005-07-31
Arkansas,0,2005-07-31
California,17,2005-07-31
Colorado,8,2005-07-31
Connecticut,12,2005-07-31
Delaware,0,2005-07-31
District of Columbia,25,2005-07-31
Florida,25,2005-07-31
Georgia,16,2005-07-31
Hawaii,61,2005-07-31
Idaho,0,2005-07-31
Illinois,21,2005-07-31
Indiana,12,2005-07-31
Iowa,0,2005-07-31
Kansas,17,2005-07-31
Kentucky,0,2005-07-31
Louisiana,0,2005-07-31
Maine,0,2005-07-31
Maryland,0,2005-07-31
Massachusetts,4,2005-07-31
Michigan,16,2005-07-31
Minnesota,22,2005-07-31
Mississippi,0,2005-07-31
Missouri,35,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,24,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,18,2005-07-31
New Mexico,0,2005-07-31
New York,16,2005-07-31
North Carolina,12,2005-07-31
North Dakota,0,2005-07-31
Ohio,5,2005-07-31
Oklahoma,0,2005-07-31
Oregon,0,2005-07-31
Pennsylvania,0,2005-07-31
Rhode Island,0,2005-07-31
South Carolina,18,2005-07-31
South Dakota,0,2005-07-31
Tennessee,10,2005-07-31
Texas,4,2005-07-31
Utah,18,2005-07-31
Vermont,0,2005-07-31
Virginia,4,2005-07-31
Washington,14,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,8,2005-07-31
Wyoming,100,2005-07-31
Alabama,0,2005-08-31
Alaska,0,2005-08-31
Arizona,15,2005-08-31
Arkansas,0,2005-08-31
California,13,2005-08-31
Colorado,8,2005-08-31
Connecticut,0,2005-08-31
Delaware,0,2005-08-31
District of Columbia,27,2005-08-31
Florida,9,2005-08-31
Georgia,17,2005-08-31
Hawaii,0,2005-08-31
Idaho,0,2005-08-31
Illinois,6,2005-08-31
Indiana,11,2005-08-31
Iowa,0,2005-08-31
Kansas,18,2005-08-31
Kentucky,24,2005-08-31
Louisiana,24,2005-08-31
Maine,0,2005-08-31
Maryland,23,2005-08-31
Massachusetts,13,2005-08-31
Michigan,0,2005-08-31
Minnesota,8,2005-08-31
Mississippi,0,2005-08-31
Missouri,7,2005-08-31
Montana,0,2005-08-31
Nebraska,0,2005-08-31
Nevada,0,2005-08-31
New Hampshire,29,2005-08-31
New Jersey,0,2005-08-31
New Mexico,0,2005-08-31
New York,9,2005-08-31
North Carolina,6,2005-08-31
North Dakota,0,2005-08-31
Ohio,5,2005-08-31
Oklahoma,20,2005-08-31
Oregon,10,2005-08-31
Pennsylvania,15,2005-08-31
Rhode Island,0,2005-08-31
South Carolina,18,2005-08-31
South Dakota,80,2005-08-31
Tennessee,11,2005-08-31
Texas,13,2005-08-31
Utah,18,2005-08-31
Vermont,0,2005-08-31
Virginia,13,2005-08-31
Washington,16,2005-08-31
West Virginia,0,2005-08-31
Wisconsin,17,2005-08-31
Wyoming,100,2005-08-31
Alabama,0,2005-09-30
Alaska,0,2005-09-30
Arizona,31,2005-09-30
Arkansas,0,2005-09-30
California,13,2005-09-30
Colorado,16,2005-09-30
Connecticut,11,2005-09-30
Delaware,0,2005-09-30
District of Columbia,27,2005-09-30
Florida,16,2005-09-30
Georgia,22,2005-09-30
Hawaii,0,2005-09-30
Idaho,0,2005-09-30
Illinois,19,2005-09-30
Indiana,11,2005-09-30
Iowa,21,2005-09-30
Kansas,0,2005-09-30
Kentucky,0,2005-09-30
Louisiana,0,2005-09-30
Maine,0,2005-09-30
Maryland,7,2005-09-30
Massachusetts,17,2005-09-30
Michigan,11,2005-09-30
Minnesota,8,2005-09-30
Mississippi,0,2005-09-30
Missouri,30,2005-09-30
Montana,0,2005-09-30
Nebraska,0,2005-09-30
Nevada,0,2005-09-30
New Hampshire,0,2005-09-30
New Jersey,9,2005-09-30
New Mexico,0,2005-09-30
New York,4,2005-09-30
North Carolina,0,2005-09-30
North Dakota,0,2005-09-30
Ohio,28,2005-09-30
Oklahoma,20,2005-09-30
Oregon,0,2005-09-30
Pennsylvania,7,2005-09-30
Rhode Island,0,2005-09-30
South Carolina,0,2005-09-30
South Dakota,0,2005-09-30
Tennessee,22,2005-09-30
Texas,5,2005-09-30
Utah,0,2005-09-30
Vermont,0,2005-09-30
Virginia,39,2005-09-30
Washington,15,2005-09-30
West Virginia,0,2005-09-30
Wisconsin,8,2005-09-30
Wyoming,100,2005-09-30
Alabama,0,2005-10-31
Alaska,0,2005-10-31
Arizona,0,2005-10-31
Arkansas,100,2005-10-31
California,15,2005-10-31
