geoName,Real Estate Investment,year
Nevada,49,2008-10-31
New Hampshire,0,2008-10-31
New Jersey,18,2008-10-31
New Mexico,0,2008-10-31
New York,12,2008-10-31
North Carolina,0,2008-10-31
North Dakota,0,2008-10-31
Ohio,11,2008-10-31
Oklahoma,0,2008-10-31
Oregon,0,2008-10-31
Pennsylvania,0,2008-10-31
Rhode Island,0,2008-10-31
South Carolina,0,2008-10-31
South Dakota,0,2008-10-31
Tennessee,26,2008-10-31
Texas,0,2008-10-31
Utah,0,2008-10-31
Vermont,0,2008-10-31
Virginia,15,2008-10-31
Washington,12,2008-10-31
West Virginia,0,2008-10-31
Wisconsin,21,2008-10-31
Wyoming,0,2008-10-31
Alabama,0,2008-11-30
Alaska,0,2008-11-30
Arizona,0,2008-11-30
Arkansas,0,2008-11-30
California,25,2008-11-30
Colorado,36,2008-11-30
Connecticut,0,2008-11-30
Delaware,0,2008-11-30
District of Columbia,0,2008-11-30
Florida,48,2008-11-30
Georgia,47,2008-11-30
Hawaii,0,2008-11-30
Idaho,0,2008-11-30
Illinois,0,2008-11-30
Indiana,0,2008-11-30
Iowa,0,2008-11-30
Kansas,0,2008-11-30
Kentucky,0,2008-11-30
Louisiana,0,2008-11-30
Maine,0,2008-11-30
Maryland,0,2008-11-30
Massachusetts,52,2008-11-30
Michigan,0,2008-11-30
Minnesota,43,2008-11-30
Mississippi,0,2008-11-30
Missouri,38,2008-11-30
Montana,0,2008-11-30
Nebraska,0,2008-11-30
Nevada,0,2008-11-30
New Hampshire,0,2008-11-30
New Jersey,43,2008-11-30
New Mexico,0,2008-11-30
New York,38,2008-11-30
North Carolina,0,2008-11-30
North Dakota,0,2008-11-30
Ohio,80,2008-11-30
Oklahoma,0,2008-11-30
Oregon,61,2008-11-30
Pennsylvania,21,2008-11-30
Rhode Island,0,2008-11-30
South Carolina,0,2008-11-30
South Dakota,0,2008-11-30
Tennessee,0,2008-11-30
Texas,32,2008-11-30
Utah,0,2008-11-30
Vermont,0,2008-11-30
Virginia,0,2008-11-30
Washington,0,2008-11-30
West Virginia,0,2008-11-30
Wisconsin,100,2008-11-30
Wyoming,0,2008-11-30
Alabama,0,2008-12-31
Alaska,0,2008-12-31
Arizona,33,2008-12-31
Arkansas,0,2008-12-31
California,28,2008-12-31
Colorado,0,2008-12-31
Connecticut,50,2008-12-31
Delaware,0,2008-12-31
District of Columbia,33,2008-12-31
Florida,25,2008-12-31
Georgia,54,2008-12-31
Hawaii,0,2008-12-31
Idaho,0,2008-12-31
Illinois,100,2008-12-31
Indiana,0,2008-12-31
Iowa,0,2008-12-31
Kansas,0,2008-12-31
Kentucky,0,2008-12-31
Louisiana,0,2008-12-31
Maine,0,2008-12-31
Maryland,0,2008-12-31
Massachusetts,21,2008-12-31
Michigan,27,2008-12-31
Minnesota,34,2008-12-31
Mississippi,0,2008-12-31
Missouri,30,2008-12-31
Montana,0,2008-12-31
Nebraska,0,2008-12-31
Nevada,0,2008-12-31
New Hampshire,0,2008-12-31
New Jersey,17,2008-12-31
New Mexico,0,2008-12-31
New York,23,2008-12-31
North Carolina,0,2008-12-31
North Dakota,0,2008-12-31
Ohio,83,2008-12-31
Oklahoma,84,2008-12-31
Oregon,0,2008-12-31
Pennsylvania,16,2008-12-31
Rhode Island,0,2008-12-31
South Carolina,0,2008-12-31
South Dakota,0,2008-12-31
Tennessee,50,2008-12-31
Texas,33,2008-12-31
Utah,84,2008-12-31
Vermont,0,2008-12-31
Virginia,20,2008-12-31
Washington,47,2008-12-31
West Virginia,0,2008-12-31
Wisconsin,39,2008-12-31
Wyoming,0,2008-12-31
Alabama,25,2009-01-31
Alaska,0,2009-01-31
Arizona,22,2009-01-31
Arkansas,0,2009-01-31
California,5,2009-01-31
Colorado,0,2009-01-31
Connecticut,0,2009-01-31
Delaware,0,2009-01-31
District of Columbia,11,2009-01-31
Florida,0,2009-01-31
Georgia,6,2009-01-31
Hawaii,0,2009-01-31
Idaho,0,2009-01-31
Illinois,0,2009-01-31
Indiana,17,2009-01-31
Iowa,0,2009-01-31
Kansas,0,2009-01-31
Kentucky,0,2009-01-31
Louisiana,0,2009-01-31
Maine,0,2009-01-31
Maryland,13,2009-01-31
Massachusetts,13,2009-01-31
Michigan,9,2009-01-31
Minnesota,0,2009-01-31
Mississippi,0,2009-01-31
Missouri,0,2009-01-31
Montana,100,2009-01-31
Nebraska,0,2009-01-31
Nevada,0,2009-01-31
New Hampshire,0,2009-01-31
New Jersey,0,2009-01-31
New Mexico,0,2009-01-31
New York,0,2009-01-31
North Carolina,0,2009-01-31
North Dakota,0,2009-01-31
Ohio,0,2009-01-31
Oklahoma,27,2009-01-31
Oregon,0,2009-01-31
Pennsylvania,11,2009-01-31
Rhode Island,0,2009-01-31
South Carolina,0,2009-01-31
South Dakota,0,2009-01-31
Tennessee,0,2009-01-31
Texas,6,2009-01-31
Utah,0,2009-01-31
Vermont,0,2009-01-31
Virginia,0,2009-01-31
Washington,8,2009-01-31
West Virginia,0,2009-01-31
Wisconsin,13,2009-01-31
Wyoming,0,2009-01-31
Alabama,53,2009-02-28
Alaska,0,2009-02-28
Arizona,88,2009-02-28
Arkansas,0,2009-02-28
California,30,2009-02-28
Colorado,21,2009-02-28
Connecticut,33,2009-02-28
Delaware,0,2009-02-28
District of Columbia,45,2009-02-28
Florida,0,2009-02-28
Georgia,12,2009-02-28
Hawaii,100,2009-02-28
Idaho,0,2009-02-28
Illinois,23,2009-02-28
Indiana,0,2009-02-28
Iowa,0,2009-02-28
Kansas,57,2009-02-28
Kentucky,0,2009-02-28
Louisiana,0,2009-02-28
Maine,0,2009-02-28
Maryland,0,2009-02-28
Massachusetts,14,2009-02-28
Michigan,19,2009-02-28
Minnesota,0,2009-02-28
Mississippi,0,2009-02-28
Missouri,0,2009-02-28
Montana,0,2009-02-28
Nebraska,87,2009-02-28
Nevada,60,2009-02-28
New Hampshire,0,2009-02-28
New Jersey,71,2009-02-28
New Mexico,0,2009-02-28
New York,21,2009-02-28
North Carolina,0,2009-02-28
North Dakota,0,2009-02-28
Ohio,0,2009-02-28
Oklahoma,0,2009-02-28
Oregon,0,2009-02-28
Pennsylvania,44,2009-02-28
Rhode Island,0,2009-02-28
South Carolina,0,2009-02-28
South Dakota,0,2009-02-28
Tennessee,0,2009-02-28
Texas,11,2009-02-28
Utah,0,2009-02-28
Vermont,0,2009-02-28
Virginia,0,2009-02-28
Washington,32,2009-02-28
West Virginia,0,2009-02-28
Wisconsin,26,2009-02-28
Wyoming,0,2009-02-28
Alabama,0,2009-03-31
Alaska,0,2009-03-31
Arizona,30,2009-03-31
Arkansas,0,2009-03-31
California,11,2009-03-31
Colorado,19,2009-03-31
Connecticut,0,2009-03-31
Delaware,0,2009-03-31
District of Columbia,10,2009-03-31
Florida,4,2009-03-31
Georgia,0,2009-03-31
Hawaii,0,2009-03-31
Idaho,0,2009-03-31
Illinois,5,2009-03-31
Indiana,0,2009-03-31
Iowa,70,2009-03-31
Kansas,26,2009-03-31
Kentucky,24,2009-03-31
Louisiana,0,2009-03-31
Maine,0,2009-03-31
Maryland,0,2009-03-31
Massachusetts,7,2009-03-31
Michigan,9,2009-03-31
Minnesota,0,2009-03-31
Mississippi,0,2009-03-31
Missouri,9,2009-03-31
Montana,100,2009-03-31
Nebraska,0,2009-03-31
Nevada,29,2009-03-31
New Hampshire,0,2009-03-31
New Jersey,6,2009-03-31
New Mexico,0,2009-03-31
New York,3,2009-03-31
North Carolina,16,2009-03-31
North Dakota,0,2009-03-31
Ohio,0,2009-03-31
Oklahoma,0,2009-03-31
Oregon,16,2009-03-31
Pennsylvania,5,2009-03-31
Rhode Island,0,2009-03-31
South Carolina,0,2009-03-31
South Dakota,0,2009-03-31
Tennessee,16,2009-03-31
Texas,8,2009-03-31
Utah,0,2009-03-31
Vermont,0,2009-03-31
Virginia,3,2009-03-31
Washington,16,2009-03-31
West Virginia,0,2009-03-31
Wisconsin,13,2009-03-31
Wyoming,0,2009-03-31
Alabama,0,2009-04-30
Alaska,0,2009-04-30
Arizona,48,2009-04-30
Arkansas,0,2009-04-30
California,21,2009-04-30
Colorado,0,2009-04-30
Connecticut,0,2009-04-30
Delaware,0,2009-04-30
District of Columbia,49,2009-04-30
Florida,9,2009-04-30
Georgia,42,2009-04-30
Hawaii,0,2009-04-30
Idaho,0,2009-04-30
Illinois,26,2009-04-30
Indiana,0,2009-04-30
Iowa,92,2009-04-30
Kansas,0,2009-04-30
Kentucky,0,2009-04-30
Louisiana,0,2009-04-30
Maine,0,2009-04-30
Maryland,28,2009-04-30
Massachusetts,0,2009-04-30
Michigan,0,2009-04-30
Minnesota,0,2009-04-30
Mississippi,0,2009-04-30
Missouri,23,2009-04-30
Montana,0,2009-04-30
Nebraska,100,2009-04-30
Nevada,0,2009-04-30
New Hampshire,0,2009-04-30
New Jersey,13,2009-04-30
New Mexico,0,2009-04-30
New York,29,2009-04-30
North Carolina,36,2009-04-30
North Dakota,0,2009-04-30
Ohio,31,2009-04-30
Oklahoma,0,2009-04-30
Oregon,75,2009-04-30
Pennsylvania,13,2009-04-30
Rhode Island,0,2009-04-30
South Carolina,0,2009-04-30
South Dakota,0,2009-04-30
Tennessee,38,2009-04-30
Texas,25,2009-04-30
Utah,0,2009-04-30
Vermont,0,2009-04-30
Virginia,6,2009-04-30
Washington,0,2009-04-30
West Virginia,0,2009-04-30
Wisconsin,0,2009-04-30
Wyoming,0,2009-04-30
Alabama,56,2009-05-31
Alaska,0,2009-05-31
Arizona,23,2009-05-31
Arkansas,100,2009-05-31
California,14,2009-05-31
Colorado,0,2009-05-31
Connecticut,34,2009-05-31
Delaware,0,2009-05-31
District of Columbia,0,2009-05-31
Florida,8,2009-05-31
Georgia,13,2009-05-31
Hawaii,0,2009-05-31
Idaho,0,2009-05-31
Illinois,0,2009-05-31
Indiana,40,2009-05-31
Iowa,0,2009-05-31
Kansas,0,2009-05-31
Kentucky,0,2009-05-31
Louisiana,0,2009-05-31
Maine,0,2009-05-31
Maryland,53,2009-05-31
Massachusetts,28,2009-05-31
Michigan,0,2009-05-31
Minnesota,0,2009-05-31
Mississippi,0,2009-05-31
Missouri,0,2009-05-31
Montana,0,2009-05-31
Nebraska,0,2009-05-31
Nevada,0,2009-05-31
New Hampshire,0,2009-05-31
New Jersey,0,2009-05-31
New Mexico,0,2009-05-31
New York,16,2009-05-31
North Carolina,0,2009-05-31
North Dakota,0,2009-05-31
Ohio,0,2009-05-31
Oklahoma,0,2009-05-31
Oregon,0,2009-05-31
Pennsylvania,24,2009-05-31
Rhode Island,0,2009-05-31
South Carolina,58,2009-05-31
South Dakota,0,2009-05-31
Tennessee,37,2009-05-31
Texas,29,2009-05-31
Utah,0,2009-05-31
Vermont,0,2009-05-31
Virginia,5,2009-05-31
Washington,0,2009-05-31
West Virginia,0,2009-05-31
Wisconsin,0,2009-05-31
Wyoming,0,2009-05-31
Alabama,0,2009-06-30
Alaska,0,2009-06-30
Arizona,0,2009-06-30
Arkansas,0,2009-06-30
California,6,2009-06-30
Colorado,0,2009-06-30
Connecticut,29,2009-06-30
Delaware,0,2009-06-30
District of Columbia,0,2009-06-30
Florida,0,2009-06-30
Georgia,63,2009-06-30
Hawaii,0,2009-06-30
Idaho,0,2009-06-30
Illinois,29,2009-06-30
Indiana,0,2009-06-30
Iowa,0,2009-06-30
Kansas,0,2009-06-30
Kentucky,0,2009-06-30
Louisiana,0,2009-06-30
Maine,0,2009-06-30
Maryland,0,2009-06-30
Massachusetts,24,2009-06-30
Michigan,35,2009-06-30
Minnesota,0,2009-06-30
Mississippi,0,2009-06-30
Missouri,17,2009-06-30
Montana,0,2009-06-30
Nebraska,0,2009-06-30
Nevada,48,2009-06-30
New Hampshire,0,2009-06-30
New Jersey,38,2009-06-30
New Mexico,0,2009-06-30
New York,9,2009-06-30
North Carolina,13,2009-06-30
North Dakota,0,2009-06-30
Ohio,12,2009-06-30
Oklahoma,49,2009-06-30
Oregon,29,2009-06-30
Pennsylvania,29,2009-06-30
Rhode Island,100,2009-06-30
South Carolina,0,2009-06-30
South Dakota,0,2009-06-30
Tennessee,0,2009-06-30
Texas,9,2009-06-30
Utah,0,2009-06-30
Vermont,0,2009-06-30
Virginia,9,2009-06-30
Washington,28,2009-06-30
West Virginia,0,2009-06-30
Wisconsin,0,2009-06-30
Wyoming,0,2009-06-30
Alabama,0,2009-07-31
Alaska,0,2009-07-31
Arizona,0,2009-07-31
Arkansas,0,2009-07-31
California,8,2009-07-31
Colorado,10,2009-07-31
Connecticut,15,2009-07-31
Delaware,0,2009-07-31
District of Columbia,9,2009-07-31
Florida,7,2009-07-31
Georgia,11,2009-07-31
Hawaii,0,2009-07-31
Idaho,0,2009-07-31
Illinois,0,2009-07-31
Indiana,0,2009-07-31
Iowa,0,2009-07-31
Kansas,0,2009-07-31
Kentucky,0,2009-07-31
Louisiana,20,2009-07-31
Maine,0,2009-07-31
Maryland,12,2009-07-31
Massachusetts,12,2009-07-31
Michigan,0,2009-07-31
Minnesota,0,2009-07-31
Mississippi,0,2009-07-31
Missouri,0,2009-07-31
Montana,100,2009-07-31
Nebraska,0,2009-07-31
Nevada,0,2009-07-31
New Hampshire,0,2009-07-31
New Jersey,10,2009-07-31
New Mexico,0,2009-07-31
New York,14,2009-07-31
North Carolina,0,2009-07-31
North Dakota,0,2009-07-31
Ohio,0,2009-07-31
Oklahoma,0,2009-07-31
Oregon,0,2009-07-31
Pennsylvania,0,2009-07-31
Rhode Island,0,2009-07-31
South Carolina,0,2009-07-31
South Dakota,0,2009-07-31
Tennessee,14,2009-07-31
Texas,5,2009-07-31
Utah,79,2009-07-31
Vermont,0,2009-07-31
Virginia,0,2009-07-31
Washington,0,2009-07-31
West Virginia,0,2009-07-31
Wisconsin,12,2009-07-31
Wyoming,0,2009-07-31
Alabama,0,2009-08-31
Alaska,0,2009-08-31
Arizona,0,2009-08-31
Arkansas,0,2009-08-31
California,18,2009-08-31
Colorado,0,2009-08-31
Connecticut,0,2009-08-31
Delaware,0,2009-08-31
District of Columbia,54,2009-08-31
Florida,53,2009-08-31
Georgia,100,2009-08-31
Hawaii,0,2009-08-31
Idaho,0,2009-08-31
Illinois,32,2009-08-31
Indiana,0,2009-08-31
Iowa,0,2009-08-31
Kansas,0,2009-08-31
Kentucky,62,2009-08-31
Louisiana,0,2009-08-31
Maine,0,2009-08-31
Maryland,0,2009-08-31
Massachusetts,18,2009-08-31
Michigan,0,2009-08-31
Minnesota,31,2009-08-31
Mississippi,0,2009-08-31
Missouri,26,2009-08-31
Montana,0,2009-08-31
Nebraska,0,2009-08-31
Nevada,0,2009-08-31
New Hampshire,0,2009-08-31
New Jersey,16,2009-08-31
New Mexico,0,2009-08-31
New York,14,2009-08-31
North Carolina,0,2009-08-31
North Dakota,0,2009-08-31
Ohio,19,2009-08-31
Oklahoma,0,2009-08-31
Oregon,0,2009-08-31
Pennsylvania,0,2009-08-31
Rhode Island,0,2009-08-31
South Carolina,0,2009-08-31
South Dakota,0,2009-08-31
Tennessee,0,2009-08-31
Texas,52,2009-08-31
Utah,0,2009-08-31
Vermont,0,2009-08-31
Virginia,19,2009-08-31
Washington,71,2009-08-31
West Virginia,0,2009-08-31
Wisconsin,0,2009-08-31
Wyoming,0,2009-08-31
Alabama,0,2009-09-30
Alaska,0,2009-09-30
Arizona,9,2009-09-30
Arkansas,77,2009-09-30
California,4,2009-09-30
Colorado,19,2009-09-30
Connecticut,0,2009-09-30
Delaware,0,2009-09-30
District of Columbia,0,2009-09-30
Florida,14,2009-09-30
Georgia,5,2009-09-30
Hawaii,0,2009-09-30
Idaho,0,2009-09-30
Illinois,15,2009-09-30
Indiana,0,2009-09-30
Iowa,0,2009-09-30
Kansas,0,2009-09-30
Kentucky,20,2009-09-30
Louisiana,0,2009-09-30
Maine,0,2009-09-30
Maryland,34,2009-09-30
Massachusetts,0,2009-09-30
Michigan,0,2009-09-30
Minnesota,0,2009-09-30
Mississippi,0,2009-09-30
Missouri,17,2009-09-30
Montana,100,2009-09-30
Nebraska,0,2009-09-30
Nevada,0,2009-09-30
New Hampshire,0,2009-09-30
New Jersey,15,2009-09-30
New Mexico,0,2009-09-30
New York,7,2009-09-30
North Carolina,13,2009-09-30
North Dakota,0,2009-09-30
Ohio,24,2009-09-30
Oklahoma,0,2009-09-30
Oregon,15,2009-09-30
Pennsylvania,5,2009-09-30
Rhode Island,0,2009-09-30
South Carolina,0,2009-09-30
South Dakota,77,2009-09-30
Tennessee,29,2009-09-30
Texas,7,2009-09-30
Utah,26,2009-09-30
Vermont,0,2009-09-30
Virginia,2,2009-09-30
Washington,15,2009-09-30
West Virginia,0,2009-09-30
Wisconsin,0,2009-09-30
Wyoming,0,2009-09-30
Alabama,19,2009-10-31
Alaska,0,2009-10-31
Arizona,8,2009-10-31
Arkansas,0,2009-10-31
California,7,2009-10-31
Colorado,0,2009-10-31
Connecticut,0,2009-10-31
Delaware,100,2009-10-31
District of Columbia,0,2009-10-31
Florida,0,2009-10-31
Georgia,10,2009-10-31
Hawaii,0,2009-10-31
Idaho,0,2009-10-31
Illinois,17,2009-10-31
Indiana,0,2009-10-31
Iowa,0,2009-10-31
Kansas,0,2009-10-31
Kentucky,0,2009-10-31
Louisiana,0,2009-10-31
Maine,0,2009-10-31
Maryland,0,2009-10-31
Massachusetts,5,2009-10-31
Michigan,0,2009-10-31
Minnesota,0,2009-10-31
Mississippi,0,2009-10-31
Missouri,7,2009-10-31
Montana,0,2009-10-31
Nebraska,0,2009-10-31
Nevada,0,2009-10-31
New Hampshire,0,2009-10-31
New Jersey,0,2009-10-31
New Mexico,0,2009-10-31
New York,7,2009-10-31
North Carolina,12,2009-10-31
North Dakota,0,2009-10-31
Ohio,5,2009-10-31
Oklahoma,0,2009-10-31
Oregon,0,2009-10-31
Pennsylvania,0,2009-10-31
Rhode Island,0,2009-10-31
South Carolina,0,2009-10-31
South Dakota,0,2009-10-31
Tennessee,0,2009-10-31
Texas,0,2009-10-31
Utah,0,2009-10-31
Vermont,0,2009-10-31
Virginia,2,2009-10-31
Washington,6,2009-10-31
West Virginia,0,2009-10-31
Wisconsin,21,2009-10-31
Wyoming,0,2009-10-31
Alabama,0,2009-11-30
Alaska,0,2009-11-30
Arizona,22,2009-11-30
Arkansas,0,2009-11-30
California,21,2009-11-30
Colorado,23,2009-11-30
Connecticut,0,2009-11-30
Delaware,0,2009-11-30
District of Columbia,21,2009-11-30
Florida,33,2009-11-30
Georgia,25,2009-11-30
Hawaii,100,2009-11-30
Idaho,0,2009-11-30
Illinois,0,2009-11-30
Indiana,0,2009-11-30
Iowa,0,2009-11-30
Kansas,0,2009-11-30
Kentucky,0,2009-11-30
Louisiana,0,2009-11-30
Maine,0,2009-11-30
Maryland,0,2009-11-30
Massachusetts,36,2009-11-30
Michigan,0,2009-11-30
Minnesota,0,2009-11-30
Mississippi,0,2009-11-30
Missouri,0,2009-11-30
Montana,0,2009-11-30
Nebraska,0,2009-11-30
Nevada,60,2009-11-30
New Hampshire,0,2009-11-30
New Jersey,0,2009-11-30
New Mexico,0,2009-11-30
New York,5,2009-11-30
North Carolina,0,2009-11-30
North Dakota,0,2009-11-30
Ohio,41,2009-11-30
Oklahoma,0,2009-11-30
Oregon,34,2009-11-30
Pennsylvania,23,2009-11-30
Rhode Island,0,2009-11-30
South Carolina,0,2009-11-30
South Dakota,0,2009-11-30
Tennessee,0,2009-11-30
Texas,6,2009-11-30
Utah,0,2009-11-30
Vermont,0,2009-11-30
Virginia,14,2009-11-30
Washington,0,2009-11-30
West Virginia,0,2009-11-30
Wisconsin,27,2009-11-30
Wyoming,0,2009-11-30
Alabama,39,2009-12-31
Alaska,0,2009-12-31
Arizona,17,2009-12-31
Arkansas,0,2009-12-31
California,15,2009-12-31
Colorado,34,2009-12-31
Connecticut,51,2009-12-31
Delaware,0,2009-12-31
District of Columbia,16,2009-12-31
Florida,25,2009-12-31
Georgia,10,2009-12-31
Hawaii,0,2009-12-31
Idaho,0,2009-12-31
Illinois,18,2009-12-31
Indiana,28,2009-12-31
Iowa,0,2009-12-31
Kansas,0,2009-12-31
Kentucky,0,2009-12-31
Louisiana,0,2009-12-31
Maine,0,2009-12-31
Maryland,82,2009-12-31
Massachusetts,29,2009-12-31
Michigan,0,2009-12-31
Minnesota,53,2009-12-31
Mississippi,0,2009-12-31
Missouri,0,2009-12-31
Montana,0,2009-12-31
Nebraska,71,2009-12-31
Nevada,0,2009-12-31
New Hampshire,0,2009-12-31
New Jersey,0,2009-12-31
New Mexico,100,2009-12-31
New York,32,2009-12-31
North Carolina,12,2009-12-31
North Dakota,0,2009-12-31
Ohio,0,2009-12-31
Oklahoma,0,2009-12-31
Oregon,0,2009-12-31
Pennsylvania,18,2009-12-31
Rhode Island,0,2009-12-31
South Carolina,0,2009-12-31
South Dakota,0,2009-12-31
Tennessee,0,2009-12-31
Texas,26,2009-12-31
Utah,49,2009-12-31
Vermont,0,2009-12-31
Virginia,17,2009-12-31
Washington,25,2009-12-31
West Virginia,0,2009-12-31
Wisconsin,22,2009-12-31
Wyoming,0,2009-12-31
Alabama,0,2010-01-31
Alaska,0,2010-01-31
Arizona,22,2010-01-31
Arkansas,0,2010-01-31
California,19,2010-01-31
Colorado,0,2010-01-31
Connecticut,0,2010-01-31
Delaware,0,2010-01-31
District of Columbia,40,2010-01-31
Florida,31,2010-01-31
Georgia,12,2010-01-31
Hawaii,98,2010-01-31
Idaho,0,2010-01-31
Illinois,11,2010-01-31
Indiana,36,2010-01-31
Iowa,0,2010-01-31
Kansas,0,2010-01-31
Kentucky,0,2010-01-31
Louisiana,0,2010-01-31
Maine,0,2010-01-31
Maryland,26,2010-01-31
Massachusetts,25,2010-01-31
Michigan,0,2010-01-31
Minnesota,0,2010-01-31
Mississippi,0,2010-01-31
Missouri,0,2010-01-31
Montana,0,2010-01-31
Nebraska,0,2010-01-31
Nevada,0,2010-01-31
New Hampshire,0,2010-01-31
New Jersey,10,2010-01-31
New Mexico,0,2010-01-31
New York,10,2010-01-31
North Carolina,45,2010-01-31
North Dakota,0,2010-01-31
Ohio,13,2010-01-31
Oklahoma,0,2010-01-31
Oregon,34,2010-01-31
Pennsylvania,22,2010-01-31
Rhode Island,0,2010-01-31
South Carolina,100,2010-01-31
South Dakota,0,2010-01-31
Tennessee,65,2010-01-31
Texas,17,2010-01-31
Utah,0,2010-01-31
Vermont,0,2010-01-31
Virginia,9,2010-01-31
Washington,0,2010-01-31
West Virginia,0,2010-01-31
Wisconsin,26,2010-01-31
Wyoming,0,2010-01-31
Alabama,22,2010-02-28
Alaska,0,2010-02-28
Arizona,0,2010-02-28
Arkansas,0,2010-02-28
California,9,2010-02-28
Colorado,9,2010-02-28
Connecticut,0,2010-02-28
Delaware,0,2010-02-28
District of Columbia,0,2010-02-28
Florida,6,2010-02-28
Georgia,21,2010-02-28
Hawaii,42,2010-02-28
Idaho,0,2010-02-28
Illinois,14,2010-02-28
Indiana,16,2010-02-28
Iowa,0,2010-02-28
Kansas,0,2010-02-28
Kentucky,19,2010-02-28
Louisiana,19,2010-02-28
Maine,0,2010-02-28
Maryland,11,2010-02-28
Massachusetts,0,2010-02-28
Michigan,0,2010-02-28
Minnesota,9,2010-02-28
Mississippi,0,2010-02-28
Missouri,8,2010-02-28
Montana,0,2010-02-28
Nebraska,0,2010-02-28
Nevada,0,2010-02-28
New Hampshire,0,2010-02-28
New Jersey,4,2010-02-28
New Mexico,0,2010-02-28
New York,8,2010-02-28
North Carolina,7,2010-02-28
North Dakota,100,2010-02-28
Ohio,11,2010-02-28
Oklahoma,0,2010-02-28
Oregon,0,2010-02-28
Pennsylvania,19,2010-02-28
Rhode Island,0,2010-02-28
South Carolina,0,2010-02-28
South Dakota,0,2010-02-28
Tennessee,0,2010-02-28
Texas,9,2010-02-28
Utah,0,2010-02-28
Vermont,0,2010-02-28
Virginia,7,2010-02-28
Washington,7,2010-02-28
West Virginia,0,2010-02-28
Wisconsin,22,2010-02-28
Wyoming,0,2010-02-28
Alabama,0,2010-03-31
Alaska,0,2010-03-31
Arizona,34,2010-03-31
Arkansas,0,2010-03-31
California,5,2010-03-31
Colorado,35,2010-03-31
Connecticut,0,2010-03-31
Delaware,0,2010-03-31
District of Columbia,0,2010-03-31
Florida,19,2010-03-31
Georgia,30,2010-03-31
Hawaii,0,2010-03-31
Idaho,0,2010-03-31
Illinois,18,2010-03-31
Indiana,0,2010-03-31
Iowa,0,2010-03-31
Kansas,44,2010-03-31
Kentucky,0,2010-03-31
Louisiana,0,2010-03-31
Maine,0,2010-03-31
Maryland,41,2010-03-31
Massachusetts,0,2010-03-31
Michigan,0,2010-03-31
Minnesota,0,2010-03-31
Mississippi,0,2010-03-31
Missouri,15,2010-03-31
Montana,0,2010-03-31
Nebraska,70,2010-03-31
Nevada,0,2010-03-31
New Hampshire,0,2010-03-31
New Jersey,17,2010-03-31
New Mexico,100,2010-03-31
New York,12,2010-03-31
North Carolina,13,2010-03-31
North Dakota,0,2010-03-31
Ohio,0,2010-03-31
Oklahoma,0,2010-03-31
Oregon,0,2010-03-31
Pennsylvania,28,2010-03-31
Rhode Island,0,2010-03-31
South Carolina,0,2010-03-31
South Dakota,0,2010-03-31
Tennessee,0,2010-03-31
Texas,13,2010-03-31
Utah,0,2010-03-31
Vermont,0,2010-03-31
Virginia,13,2010-03-31
Washington,26,2010-03-31
West Virginia,0,2010-03-31
Wisconsin,0,2010-03-31
Wyoming,0,2010-03-31
Alabama,0,2010-04-30
Alaska,0,2010-04-30
Arizona,23,2010-04-30
Arkansas,0,2010-04-30
California,21,2010-04-30
Colorado,24,2010-04-30
Connecticut,0,2010-04-30
Delaware,0,2010-04-30
District of Columbia,21,2010-04-30
Florida,17,2010-04-30
Georgia,13,2010-04-30
Hawaii,0,2010-04-30
Idaho,0,2010-04-30
Illinois,35,2010-04-30
Indiana,0,2010-04-30
Iowa,0,2010-04-30
Kansas,0,2010-04-30
Kentucky,0,2010-04-30
Louisiana,52,2010-04-30
Maine,0,2010-04-30
Maryland,0,2010-04-30
Massachusetts,40,2010-04-30
Michigan,0,2010-04-30
Minnesota,48,2010-04-30
Mississippi,0,2010-04-30
Missouri,20,2010-04-30
Montana,0,2010-04-30
Nebraska,100,2010-04-30
Nevada,0,2010-04-30
New Hampshire,0,2010-04-30
New Jersey,23,2010-04-30
New Mexico,0,2010-04-30
New York,42,2010-04-30
North Carolina,18,2010-04-30
North Dakota,0,2010-04-30
Ohio,0,2010-04-30
Oklahoma,62,2010-04-30
Oregon,35,2010-04-30
Pennsylvania,25,2010-04-30
Rhode Island,0,2010-04-30
South Carolina,0,2010-04-30
South Dakota,0,2010-04-30
Tennessee,0,2010-04-30
Texas,23,2010-04-30
Utah,0,2010-04-30
Vermont,0,2010-04-30
Virginia,8,2010-04-30
Washington,50,2010-04-30
West Virginia,0,2010-04-30
Wisconsin,0,2010-04-30
Wyoming,0,2010-04-30
Alabama,0,2010-05-31
Alaska,0,2010-05-31
Arizona,22,2010-05-31
Arkansas,0,2010-05-31
California,11,2010-05-31
Colorado,0,2010-05-31
Connecticut,0,2010-05-31
Delaware,0,2010-05-31
District of Columbia,0,2010-05-31
Florida,4,2010-05-31
Georgia,13,2010-05-31
Hawaii,0,2010-05-31
Idaho,0,2010-05-31
Illinois,6,2010-05-31
Indiana,0,2010-05-31
Iowa,0,2010-05-31
Kansas,0,2010-05-31
Kentucky,0,2010-05-31
Louisiana,0,2010-05-31
Maine,0,2010-05-31
Maryland,0,2010-05-31
Massachusetts,6,2010-05-31
Michigan,10,2010-05-31
Minnesota,0,2010-05-31
Mississippi,0,2010-05-31
Missouri,0,2010-05-31
Montana,0,2010-05-31
Nebraska,0,2010-05-31
Nevada,30,2010-05-31
