geoName,Real Estate Investment,year
South Carolina,100,2005-04-30
South Dakota,0,2005-04-30
Tennessee,0,2005-04-30
Texas,6,2005-04-30
Utah,0,2005-04-30
Vermont,0,2005-04-30
Virginia,11,2005-04-30
Washington,12,2005-04-30
West Virginia,0,2005-04-30
Wisconsin,0,2005-04-30
Wyoming,0,2005-04-30
Alabama,0,2005-05-31
Alaska,0,2005-05-31
Arizona,11,2005-05-31
Arkansas,0,2005-05-31
California,21,2005-05-31
Colorado,0,2005-05-31
Connecticut,0,2005-05-31
Delaware,100,2005-05-31
District of Columbia,25,2005-05-31
Florida,4,2005-05-31
Georgia,13,2005-05-31
Hawaii,0,2005-05-31
Idaho,0,2005-05-31
Illinois,19,2005-05-31
Indiana,0,2005-05-31
Iowa,0,2005-05-31
Kansas,0,2005-05-31
Kentucky,0,2005-05-31
Louisiana,0,2005-05-31
Maine,0,2005-05-31
Maryland,0,2005-05-31
Massachusetts,0,2005-05-31
Michigan,0,2005-05-31
Minnesota,12,2005-05-31
Mississippi,0,2005-05-31
Missouri,11,2005-05-31
Montana,0,2005-05-31
Nebraska,0,2005-05-31
Nevada,75,2005-05-31
New Hampshire,0,2005-05-31
New Jersey,0,2005-05-31
New Mexico,0,2005-05-31
New York,3,2005-05-31
North Carolina,0,2005-05-31
North Dakota,0,2005-05-31
Ohio,7,2005-05-31
Oklahoma,0,2005-05-31
Oregon,0,2005-05-31
Pennsylvania,0,2005-05-31
Rhode Island,50,2005-05-31
South Carolina,0,2005-05-31
South Dakota,0,2005-05-31
Tennessee,17,2005-05-31
Texas,0,2005-05-31
Utah,85,2005-05-31
Vermont,0,2005-05-31
Virginia,6,2005-05-31
Washington,7,2005-05-31
West Virginia,0,2005-05-31
Wisconsin,25,2005-05-31
Wyoming,0,2005-05-31
Alabama,0,2005-06-30
Alaska,0,2005-06-30
Arizona,25,2005-06-30
Arkansas,0,2005-06-30
California,19,2005-06-30
Colorado,52,2005-06-30
Connecticut,77,2005-06-30
Delaware,0,2005-06-30
District of Columbia,0,2005-06-30
Florida,18,2005-06-30
Georgia,27,2005-06-30
Hawaii,100,2005-06-30
Idaho,0,2005-06-30
Illinois,10,2005-06-30
Indiana,0,2005-06-30
Iowa,0,2005-06-30
Kansas,0,2005-06-30
Kentucky,0,2005-06-30
Louisiana,58,2005-06-30
Maine,0,2005-06-30
Maryland,24,2005-06-30
Massachusetts,27,2005-06-30
Michigan,19,2005-06-30
Minnesota,0,2005-06-30
Mississippi,0,2005-06-30
Missouri,24,2005-06-30
Montana,0,2005-06-30
Nebraska,0,2005-06-30
Nevada,0,2005-06-30
New Hampshire,0,2005-06-30
New Jersey,0,2005-06-30
New Mexico,0,2005-06-30
New York,23,2005-06-30
North Carolina,20,2005-06-30
North Dakota,0,2005-06-30
Ohio,0,2005-06-30
Oklahoma,0,2005-06-30
Oregon,0,2005-06-30
Pennsylvania,13,2005-06-30
Rhode Island,0,2005-06-30
South Carolina,0,2005-06-30
South Dakota,0,2005-06-30
Tennessee,0,2005-06-30
Texas,35,2005-06-30
Utah,0,2005-06-30
Vermont,0,2005-06-30
Virginia,56,2005-06-30
Washington,16,2005-06-30
West Virginia,0,2005-06-30
Wisconsin,27,2005-06-30
Wyoming,0,2005-06-30
Alabama,37,2005-07-31
Alaska,0,2005-07-31
Arizona,0,2005-07-31
Arkansas,0,2005-07-31
California,14,2005-07-31
Colorado,16,2005-07-31
Connecticut,73,2005-07-31
Delaware,0,2005-07-31
District of Columbia,0,2005-07-31
Florida,6,2005-07-31
Georgia,17,2005-07-31
Hawaii,0,2005-07-31
Idaho,0,2005-07-31
Illinois,19,2005-07-31
Indiana,24,2005-07-31
Iowa,0,2005-07-31
Kansas,0,2005-07-31
Kentucky,0,2005-07-31
Louisiana,0,2005-07-31
Maine,0,2005-07-31
Maryland,15,2005-07-31
Massachusetts,0,2005-07-31
Michigan,23,2005-07-31
Minnesota,0,2005-07-31
Mississippi,0,2005-07-31
Missouri,0,2005-07-31
Montana,0,2005-07-31
Nebraska,0,2005-07-31
Nevada,100,2005-07-31
New Hampshire,0,2005-07-31
New Jersey,9,2005-07-31
New Mexico,0,2005-07-31
New York,22,2005-07-31
North Carolina,12,2005-07-31
North Dakota,0,2005-07-31
Ohio,0,2005-07-31
Oklahoma,0,2005-07-31
Oregon,0,2005-07-31
Pennsylvania,24,2005-07-31
Rhode Island,0,2005-07-31
South Carolina,37,2005-07-31
South Dakota,0,2005-07-31
Tennessee,22,2005-07-31
Texas,13,2005-07-31
Utah,0,2005-07-31
Vermont,0,2005-07-31
Virginia,0,2005-07-31
Washington,0,2005-07-31
West Virginia,0,2005-07-31
Wisconsin,0,2005-07-31
Wyoming,0,2005-07-31
Alabama,0,2005-08-31
Alaska,0,2005-08-31
Arizona,30,2005-08-31
Arkansas,0,2005-08-31
California,12,2005-08-31
Colorado,31,2005-08-31
Connecticut,0,2005-08-31
Delaware,0,2005-08-31
District of Columbia,35,2005-08-31
Florida,11,2005-08-31
Georgia,67,2005-08-31
Hawaii,0,2005-08-31
Idaho,0,2005-08-31
Illinois,37,2005-08-31
Indiana,0,2005-08-31
Iowa,0,2005-08-31
Kansas,0,2005-08-31
Kentucky,0,2005-08-31
Louisiana,0,2005-08-31
Maine,0,2005-08-31
Maryland,0,2005-08-31
Massachusetts,0,2005-08-31
