region,sub_region,State,FIPS_State_code,year,month,total_number_hpa
Midwest,West North Central,Nebraska,31,2010,March,394
Midwest,West North Central,North Dakota,38,2010,March,177
Midwest,West North Central,South Dakota,46,2010,March,247
South,South Atlantic,Delaware,10,2010,March,348
South,South Atlantic,District of Columbia,11,2010,March,274
South,South Atlantic,Florida,12,2010,March,4358
South,South Atlantic,Georgia,13,2010,March,1790
South,South Atlantic,Maryland,24,2010,March,1600
South,South Atlantic,North Carolina,37,2010,March,3680
South,South Atlantic,South Carolina,45,2010,March,1947
South,South Atlantic,Virginia,51,2010,March,2473
South,South Atlantic,West Virginia,54,2010,March,173
South,East South Central,Alabama,1,2010,March,1343
South,East South Central,Kentucky,21,2010,March,794
South,East South Central,Mississippi,28,2010,March,470
South,East South Central,Tennessee,47,2010,March,1899
South,West South Central,Arkansas,5,2010,March,597
South,West South Central,Louisiana,22,2010,March,1192
South,West South Central,Oklahoma,40,2010,March,931
South,West South Central,Texas,48,2010,March,9741
West,Mountain,Arizona,4,2010,March,1678
West,Mountain,Colorado,8,2010,March,1463
West,Mountain,Idaho,16,2010,March,590
West,Mountain,Montana,30,2010,March,197
West,Mountain,Nevada,32,2010,March,864
West,Mountain,New Mexico,35,2010,March,518
West,Mountain,Utah,49,2010,March,1005
West,Mountain,Wyoming,56,2010,March,176
West,Pacific,Alaska,2,2010,March,46
West,Pacific,California,6,2010,March,3661
West,Pacific,Hawaii,15,2010,March,456
West,Pacific,Oregon,41,2010,March,693
West,Pacific,Washington,53,2010,March,1778
North East,New England,Connecticut,9,2010,April,346
North East,New England,Maine,23,2010,April,306
North East,New England,Massachusetts,25,2010,April,714
North East,New England,New Hampshire,33,2010,April,226
North East,New England,Rhode Island,44,2010,April,69
North East,New England,Vermont,50,2010,April,111
North East,mid atlantic,New Jersey,34,2010,April,1104
North East,mid atlantic,New York,36,2010,April,1666
North East,mid atlantic,Pennsylvania,42,2010,April,1653
Midwest,East North Central,Illinois,17,2010,April,1097
Midwest,East North Central,Indiana,18,2010,April,1359
Midwest,East North Central,Michigan,26,2010,April,803
Midwest,East North Central,Ohio,39,2010,April,1618
Midwest,East North Central,Wisconsin,55,2010,April,1446
Midwest,West North Central,Iowa,19,2010,April,872
Midwest,West North Central,Kansas,20,2010,April,410
Midwest,West North Central,Minnesota,27,2010,April,972
Midwest,West North Central,Missouri,29,2010,April,808
Midwest,West North Central,Nebraska,31,2010,April,604
Midwest,West North Central,North Dakota,38,2010,April,421
Midwest,West North Central,South Dakota,46,2010,April,585
South,South Atlantic,Delaware,10,2010,April,315
South,South Atlantic,District of Columbia,11,2010,April,23
South,South Atlantic,Florida,12,2010,April,3743
South,South Atlantic,Georgia,13,2010,April,1778
South,South Atlantic,Maryland,24,2010,April,904
