Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA,HPI
56,2010,564531.0,0.75,4,9.9,142,267.58
1,2010,4785514.0,0.75,7,9.4,731,288.75
2,2010,713982.0,0.75,7,9.4,91,284.44
4,2010,6407342.0,0.75,7,9.4,942,263.67
5,2010,2921998.0,0.75,7,9.4,508,246.77
6,2010,37319550.0,0.75,7,9.4,3756,411.01
8,2010,5047539.0,0.75,7,9.4,862,340.65
9,2010,3579173.0,0.75,7,9.4,296,406.71
10,2010,899647.0,0.75,7,9.4,276,435.29
11,2010,605282.0,0.75,7,9.4,101,565.89
12,2010,18846143.0,0.75,7,9.4,2894,294.82
13,2010,9712209.0,0.75,7,9.4,1690,283.02
15,2010,1364004.0,0.75,7,9.4,144,452.44
16,2010,1570819.0,0.75,7,9.4,317,285.98
17,2010,12840545.0,0.75,7,9.4,772,316.97
18,2010,6490555.0,0.75,7,9.4,1339,245.79
19,2010,3050819.0,0.75,7,9.4,667,247.28
20,2010,2858266.0,0.75,7,9.4,458,236.26
21,2010,4348464.0,0.75,7,9.4,601,287.76
22,2010,4544635.0,0.75,7,9.4,840,242.59
23,2010,1327651.0,0.75,7,9.4,315,458.31
24,2010,5788784.0,0.75,7,9.4,1126,426.33
25,2010,6566440.0,0.75,7,9.4,853,615.76
26,2010,9877597.0,0.75,7,9.4,787,240.16
27,2010,5310934.0,0.75,7,9.4,743,315.19
28,2010,2970615.0,0.75,7,9.4,322,244.28
29,2010,5996089.0,0.75,7,9.4,638,278.36
30,2010,990730.0,0.75,7,9.4,188,357.86
31,2010,1829591.0,0.75,7,9.4,343,250.93
32,2010,2702483.0,0.75,7,9.4,455,218.88
33,2010,1316807.0,0.75,7,9.4,179,394.54
34,2010,8799451.0,0.75,7,9.4,1098,485.83
35,2010,2064614.0,0.75,7,9.4,508,300.28
36,2010,19399956.0,0.75,7,9.4,1753,578.16
37,2010,9574586.0,0.75,7,9.4,3191,314.06
38,2010,674752.0,0.75,7,9.4,431,254.81
39,2010,11539449.0,0.75,7,9.4,1569,245.67
40,2010,3760014.0,0.75,7,9.4,698,204.28
41,2010,3837614.0,0.75,7,9.4,537,372.92
42,2010,12711406.0,0.75,7,9.4,1531,376.73
44,2010,1053994.0,0.75,7,9.4,58,476.49
45,2010,4635846.0,0.75,7,9.4,1192,320.3
46,2010,816193.0,0.75,7,9.4,257,292.69
47,2010,6355518.0,0.75,7,9.4,985,290.4
48,2010,25241897.0,0.75,7,9.4,7343,222.99
49,2010,2775413.0,0.75,7,9.4,658,321.52
50,2010,625886.0,0.75,7,9.4,113,440.71
51,2010,8024004.0,0.75,7,9.4,2224,405.13
53,2010,6743009.0,0.75,7,9.4,1621,415.06
54,2010,1854265.0,0.75,7,9.4,126,206.02
55,2010,5690538.0,0.75,7,9.4,1093,304.09
56,2010,564531.0,0.75,7,9.4,200,267.36
1,2010,4785514.0,0.75,10,9.4,806,286.38
2,2010,713982.0,0.75,10,9.4,53,285.27
