LOGRECNO,B24011_001,B24011_002,B24011_003,B24011_004,B24011_005,B24011_006,B24011_007,B24011_008,B24011_009,B24011_010,B24011_011,B24011_012,B24011_013,B24011_014,B24011_015,B24011_016,B24011_017,B24011_018,B24011_019,B24011_020,B24011_021,B24011_022,B24011_023,B24011_024,B24011_025,B24011_026,B24011_027,B24011_028,B24011_029,B24011_030,B24011_031,B24011_032,B24011_033,B24011_034,B24011_035,B24011_036,NAME,CBSACode
186,32275,54105,56004,56495,55559,62225,61126,70453,47295,44928,48190,.,43644,.,50000,56300,48452,19178,24929,31335,23605,50245,10935,21962,15896,25985,29329,24468,37356,30883,41062,37940,31841,38191,32314,12614,"Aberdeen, WA Micro Area",10140
187,25445,40721,42016,43581,38816,51285,50526,62175,32059,33277,33476,24671,40478,12978,45518,63499,30131,13792,20085,34435,19974,36090,6520,13933,11729,21922,16764,24098,28752,17353,28207,36753,26496,20470,32410,22813,"Abilene, TX Metro Area",10180
188,26710,41949,49738,58475,32668,61556,65175,75711,53702,35111,36616,51344,31184,25987,53073,59871,27431,17877,22426,45638,5949,51706,12181,19904,15974,21179,15402,24762,35150,22573,36153,45302,26855,28874,21333,9280,"Adrian, MI Micro Area",10300
189,31825,51489,60239,62988,48616,67191,66990,71182,53750,41258,37040,50801,41028,40446,48724,54922,33347,14024,21112,41337,19406,59063,10920,19587,12169,26438,22489,27891,41299,20819,40057,43277,30535,31432,36579,23205,"Akron, OH Metro Area",10420
190,24942,45570,42024,45369,41658,56728,71939,56609,31225,36254,.,.,36379,.,56441,69151,24199,14041,18510,27945,28782,21913,8081,22661,12807,20225,21409,20077,26694,31021,28691,21660,45579,43517,70672,9306,"Alamogordo, NM Micro Area",10460
191,26257,41940,45290,45166,48257,50347,70302,50161,42237,25142,27467,120184,23173,27712,56096,61398,36454,14070,19021,28101,17448,28911,10806,14574,11556,24951,17153,26357,31171,19034,38183,31416,27021,32014,26092,22066,"Albany, GA Metro Area",10500
192,27256,47284,50107,52408,38466,60625,98657,47096,50287,29313,61250,49349,26628,20693,56351,74934,39609,12463,16489,51264,26434,61549,9231,12197,16443,22310,21542,24053,31399,40275,26750,33547,31149,34853,17430,29813,"Albany, OR Metro Area",10540
193,37487,57339,63184,72076,52134,70248,69717,73905,51819,41881,41346,62143,41529,35454,56543,62300,41465,18685,24010,50247,21234,62048,12585,19115,16921,30738,25380,32471,41323,8899,41481,43259,31192,35152,32561,24274,"Albany-Schenectady-Troy, NY Metro Area",10580
194,24813,42383,50665,78913,45057,51473,50938,60034,80170,40105,41336,62664,32293,17841,46067,50316,40669,15325,10322,27036,21504,55015,11229,15975,12311,20815,17866,22189,20375,17431,29375,17359,20368,22547,25513,16448,"Albertville, AL Micro Area",10700
195,31080,49430,51640,56935,44903,71094,65208,81307,55353,38803,36320,52189,38775,31620,55437,64063,36941,16122,23011,40473,36024,47894,11719,15551,13668,26857,25182,27408,31562,18087,30851,36530,24555,23595,31583,19539,"Albuquerque, NM Metro Area",10740
196,30772,46071,46566,47982,45987,52037,51991,41950,54623,40998,42620,101348,37008,19657,61104,74126,32047,16744,20550,45448,41897,46339,11072,18607,14943,23340,19615,24237,31020,46250,23570,32469,38846,39805,40019,37909,"Alexandria, LA Metro Area",10780
197,35615,56962,69623,71958,62524,68243,69835,75068,43661,46424,45036,65936,51363,17783,52001,64019,39128,18012,21263,60435,31327,77564,11510,19584,15640,29878,26425,30520,38018,15402,33776,43644,31088,32292,40984,24267,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900
198,28956,42255,41986,41398,49477,51677,41327,53618,50868,35097,35389,39375,30237,50328,52142,62566,34903,12446,21379,47097,61250,45139,9867,13907,15165,25084,24819,25186,31393,16985,31681,37150,29134,31154,21993,24167,"Altoona, PA Metro Area",11020
199,30507,48045,60743,66022,46667,61230,66500,69980,22321,36645,37167,42043,40258,16228,50606,56547,31952,17951,22792,49968,35825,52888,13520,16989,15471,25650,23355,27004,32209,30417,31073,40819,30438,29956,39046,18597,"Amarillo, TX Metro Area",11100
200,26807,39060,47076,50694,41441,38660,31593,46483,47856,31123,30972,58750,35870,8722,48818,58030,32221,7103,22445,46550,45732,46713,6335,7397,4692,18266,11842,25319,40239,41386,38320,46100,27615,31566,28202,10927,"Ames, IA Metro Area",11180
